*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:12

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0145 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 346   126   182    119    236    606     1    25   137  0.278  0.404  0.417  0.435  0.422  0.378  0.255  0.339  0.000  0.000
 1990 347   127   177    119    239    606     1    25   137  0.265  0.397  0.412  0.431  0.417  0.376  0.254  0.338  0.000  0.000
 1990 348   128   175    119    240    606     1    25   137  0.257  0.390  0.410  0.429  0.415  0.376  0.254  0.338  0.000  0.000
 1990 349   129   174    119    240    606     1    25   137  0.251  0.385  0.409  0.429  0.415  0.376  0.254  0.338  0.000  0.000
 1990 350   130   173    119    240    606     1    25   137  0.246  0.381  0.408  0.429  0.415  0.376  0.254  0.338  0.000  0.000
 1990 351   131   172    119    240    606     1    25   137  0.241  0.378  0.407  0.429  0.415  0.376  0.254  0.338  0.000  0.000
 1990 352   132   204    119    241    642     1    25   137  0.410  0.439  0.443  0.461  0.439  0.381  0.257  0.341  0.000  0.000
 1990 353   133   187    119    253    642     1    25   137  0.293  0.420  0.426  0.444  0.426  0.377  0.254  0.339  0.000  0.000
 1990 354   134   180    119    258    642     1    25   137  0.274  0.403  0.417  0.435  0.420  0.375  0.254  0.339  0.000  0.000
 1990 355   135   177    119    259    642     1    25   137  0.265  0.396  0.412  0.431  0.416  0.375  0.254  0.339  0.000  0.000
 1990 356   136   202    119    260    670     1    25   137  0.402  0.432  0.443  0.461  0.434  0.379  0.256  0.341  0.000  0.000
 1990 357   137   187    119    271    670     1    25   137  0.314  0.416  0.426  0.444  0.424  0.376  0.254  0.339  0.000  0.000
 1990 358   138   197    119    272    684     1    25   137  0.389  0.431  0.437  0.450  0.430  0.379  0.256  0.341  0.000  0.000
 1990 359   139   183    119    280    684     1    25   137  0.285  0.415  0.423  0.439  0.421  0.376  0.254  0.338  0.000  0.000
 1990 360   140   178    119    283    684     1    25   137  0.263  0.401  0.415  0.433  0.417  0.376  0.254  0.338  0.000  0.000
 1990 361   141   176    119    285    684     1    25   137  0.253  0.394  0.411  0.430  0.415  0.376  0.254  0.338  0.000  0.000
 1990 362   142   175    119    285    684     1    25   137  0.246  0.388  0.409  0.430  0.415  0.376  0.254  0.338  0.000  0.000
 1990 363   143   174    119    285    684     1    25   137  0.240  0.383  0.408  0.430  0.415  0.376  0.254  0.338  0.000  0.000
 1990 364   144   173    119    285    684     1    25   137  0.236  0.379  0.407  0.430  0.415  0.376  0.254  0.338  0.000  0.000
 1990 365   145   172    119    285    684     1    25   137  0.231  0.376  0.406  0.430  0.415  0.376  0.254  0.338  0.000  0.000
 1991 001   146   171    119    285    684     1    25   137  0.227  0.373  0.405  0.430  0.415  0.376  0.254  0.338  0.000  0.000
 1991 002   147   171    119    285    684     1    25   137  0.223  0.370  0.404  0.430  0.415  0.376  0.254  0.338  0.000  0.000
 1991 003   148   170    119    285    684     1    25   137  0.220  0.368  0.403  0.429  0.415  0.376  0.254  0.338  0.000  0.000
 1991 004   149   170    119    285    684     1    25   137  0.217  0.366  0.402  0.429  0.415  0.376  0.254  0.338  0.000  0.000
