*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:12

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0145 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   SNW0C   SNW1C
 1990 263    43    40    2.0      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.74   0.00   0.00      0      0  102.1   0.08   0.08    0.2   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 264    44    41    2.2      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.75   0.00   0.00      0      0  102.1   0.08   0.09    0.2   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 265    45    42    2.3      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.75   0.00   0.00      0      0  102.2   0.09   0.09    0.2   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 266    46    43    2.3      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.75   0.00   0.00      0      0  102.2   0.09   0.09    0.1   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 267    47    44    2.4      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.75   0.00   0.00      0      0  102.2   0.09   0.09    0.1   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 268    48    45    2.4      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.75   0.00   0.00      0      0  102.2   0.09   0.09    0.1   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 269    49    46    2.5      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.75   0.00   0.00      0      0  102.2   0.09   0.10    0.1   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 270    50    47    2.6      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.75   0.00   0.00      0      0  102.2   0.09   0.10    0.1   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 271    51    48    2.8      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.75   0.00   0.00      0      0  102.3   0.10   0.10    0.1   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 272    52    49    2.9      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.76   0.00   0.00      0      0  102.3   0.10   0.11    0.1   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 273    53    50    3.1      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.76   0.00   0.00      0      0  102.3   0.11   0.12    0.1   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 274    54    51    3.3      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.76   0.00   0.00      0      0  102.4   0.12   0.12    0.1   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 275    55    52    3.4      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.76   0.00   0.00      0      0  102.4   0.12   0.13    0.1   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 276    56    53    3.6      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.77   0.00   0.00      0      0  102.5   0.13   0.14    0.1   0.83   0.04   0.07   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 277    57    54    3.9      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.77   0.00   0.00      0      0  102.5   0.14   0.15    0.1   0.83   0.04   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 278    58    55    4.1      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.77   0.00   0.00      0      0  102.6   0.15   0.15    0.1   0.83   0.04   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 279    59    56    4.3      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.77   0.00   0.00      0      0  102.6   0.16   0.15    0.1   0.83   0.04   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 280    60    57    4.4      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.78   0.00   0.00      0      0  102.7   0.16   0.15    0.1   0.83   0.04   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 281    61    58    4.6      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.78   0.00   0.00      0      0  102.7   0.17   0.15    0.0   0.83   0.04   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 282    62    59    4.7      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.78   0.00   0.00      0      0  102.7   0.18   0.15    0.0   0.83   0.04   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       2
 1990 283    63    60    4.9      0   0.00      0      2      0      8      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.78   0.00   0.00      0      0  102.7   0.18   0.15    0.0   0.83   0.04   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
