*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 20, 2016; 15:44:28

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0071 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1991 193     2   128      0      0     14     0     0   125  0.456  0.460  0.397  0.336  0.376  0.418  0.408  0.395  0.000  0.000
 1991 194     3   126      0      0     14     0     0   125  0.418  0.458  0.399  0.336  0.377  0.417  0.408  0.395  0.000  0.000
 1991 195     4   125      0      0     14     0     0   125  0.400  0.452  0.400  0.337  0.377  0.417  0.408  0.395  0.000  0.000
 1991 196     5   123      0      0     14     0     0   125  0.364  0.447  0.401  0.337  0.378  0.416  0.408  0.395  0.000  0.000
 1991 197     6   121      0      0     14     0     0   125  0.342  0.441  0.402  0.338  0.378  0.416  0.408  0.395  0.000  0.000
 1991 198     7   120      0      0     14     0     0   125  0.328  0.435  0.402  0.338  0.378  0.415  0.408  0.395  0.000  0.000
 1991 199     8   177      0      0     72     0     0   125  0.560  0.563  0.568  0.392  0.378  0.415  0.408  0.395  0.000  0.000
 1991 200     9   183      0      0     80     0     0   125  0.526  0.568  0.564  0.443  0.380  0.415  0.408  0.395  0.000  0.000
 1991 201    10   184      0      0     83     0     0   125  0.537  0.556  0.561  0.447  0.389  0.414  0.408  0.395  0.000  0.000
 1991 202    11   225     14     30    169     0     0   125  0.569  0.568  0.568  0.478  0.463  0.447  0.439  0.432  0.000  0.000
 1991 203    12   223     16     74    213     0     0   125  0.553  0.568  0.568  0.470  0.460  0.447  0.439  0.432  0.000  0.000
 1991 204    13   222     16     99    239     0     0   125  0.538  0.568  0.568  0.470  0.460  0.447  0.439  0.432  0.000  0.000
 1991 205    14   205     16    114    239     0     0   125  0.487  0.555  0.557  0.457  0.449  0.436  0.427  0.417  0.000  0.000
 1991 206    15   194     16    122    239     0     0   125  0.478  0.532  0.550  0.449  0.442  0.429  0.419  0.408  0.000  0.000
 1991 207    16   186     16    127    239     0     0   125  0.452  0.522  0.543  0.445  0.437  0.425  0.415  0.403  0.000  0.000
 1991 208    17   182     16    129    239     0     0   125  0.456  0.514  0.538  0.442  0.435  0.423  0.412  0.400  0.000  0.000
 1991 209    18   180     16    131    239     0     0   125  0.459  0.509  0.533  0.440  0.433  0.421  0.410  0.398  0.000  0.000
 1991 210    19   179     16    131    239     0     0   125  0.461  0.506  0.530  0.439  0.433  0.421  0.410  0.398  0.000  0.000
 1991 211    20   178     16    131    239     0     0   125  0.462  0.503  0.527  0.438  0.433  0.421  0.410  0.398  0.000  0.000
 1991 212    21   201     16    131    265     0     0   125  0.539  0.566  0.565  0.469  0.445  0.423  0.412  0.399  0.000  0.000
