*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 12, 2016; 12:55:20

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0197 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2001 014   130   21.0   13.9   15.0   17.0   34.0   0.47   30.3   20.4   25.4   27.2   20.4   25.4   27.2   86.4    330
 2001 015   131    0.0   13.9   14.9   25.7   51.4   0.20   28.3   20.6   24.5   25.9   20.6   24.5   25.9   86.4    330
 2001 016   132    0.0   13.8   14.9   23.1   46.2   0.28   29.9   19.8   24.9   26.8   19.8   24.9   26.8   86.4    330
 2001 017   133    4.0   13.8   14.9   14.9   29.8   0.54   26.5   20.1   23.3   24.5   20.1   23.3   24.5   86.4    330
 2001 018   134    2.0   13.8   14.9   12.6   25.2   0.61   25.0   21.5   23.3   23.9   21.5   23.3   23.9   86.4    330
 2001 019   135    0.0   13.8   14.9   14.8   29.6   0.54   26.4   18.0   22.2   23.8   18.0   22.2   23.8   86.4    330
 2001 020   136    0.0   13.8   14.8   30.3   60.6   0.05   25.8   14.1   20.0   22.1   14.1   20.0   22.1   86.4    330
 2001 021   137    0.0   13.8   14.8   30.6   61.2   0.04   26.3   12.4   19.4   22.0   12.4   19.4   22.0   86.4    330
 2001 022   138    0.0   13.7   14.8   13.9   27.8   0.56   28.1   14.8   21.5   23.9   14.8   21.5   23.9   86.4    330
 2001 023   139    0.0   13.7   14.8   30.6   61.2   0.04   30.5   17.9   24.2   26.5   17.9   24.2   26.5   86.4    330
 2001 024   140    0.0   13.7   14.8   29.9   59.8   0.06   32.2   16.3   24.3   27.2   16.3   24.3   27.2   86.4    330
 2001 025   141    0.0   13.7   14.7   28.5   57.0   0.10   32.3   19.7   26.0   28.3   19.7   26.0   28.3   86.4    330
 2001 026   142   10.0   13.6   14.7   22.7   45.4   0.28   33.4   20.3   26.9   29.3   20.3   26.9   29.3   86.4    330
 2001 027   143   13.0   13.6   14.7    9.9   19.8   0.69   25.5   21.6   23.6   24.3   21.6   23.6   24.3   86.4    330
 2001 028   144    0.0   13.6   14.7    8.7   17.4   0.72   21.6   18.5   20.1   20.6   18.5   20.1   20.6   86.4    330
 2001 029   145    0.0   13.6   14.6   28.0   56.0   0.11   26.9   12.2   19.6   22.2   12.2   19.6   22.2   86.4    330
 2001 030   146    0.0   13.6   14.6   29.3   58.6   0.07   26.4   15.7   21.1   23.0   15.7   21.1   23.0   86.4    330
 2001 031   147    0.0   13.5   14.6   26.5   53.0   0.15   30.5   18.1   24.3   26.6   18.1   24.3   26.6   86.4    330
 2001 032   148    0.0   13.5   14.6   18.7   37.4   0.40   30.2   20.8   25.5   27.2   20.8   25.5   27.2   86.4    330
 2001 033   149    0.0   13.5   14.5   28.8   57.6   0.07   32.4   20.6   26.5   28.6   20.6   26.5   28.6   86.4    330
 2001 034   150    0.0   13.5   14.5   26.0   52.0   0.16   25.7   17.2   21.4   23.0   17.2   21.4   23.0   86.4    330
 2001 035   151    0.0   13.4   14.5   29.5   59.0   0.05   28.6   14.1   21.3   24.0   14.1   21.3   24.0   86.4    330
 2001 036   152    0.0   13.4   14.4   28.6   57.2   0.07   27.5   18.7   23.1   24.7   18.7   23.1   24.7   86.4    330

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 12, 2016; 12:55:20

*RUN   2        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0197 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2001 250     0   51.0   11.5   12.5    5.8   11.6   0.74   17.3   14.3   15.7   16.3   14.3   15.7   16.3   86.4    330
 2001 251     1    0.0   11.6   12.5   20.5   41.0   0.09   18.1    9.2   13.4   15.2    9.2   13.4   15.2   86.4    330
 2001 252     2    0.0   11.6   12.5   10.0   20.0   0.56   15.9    7.1   11.3   13.0    7.1   11.3   13.0   86.4    330
 2001 253     3    0.0   11.6   12.6   19.6   39.2   0.14   17.2    5.4   11.0   13.3    5.4   11.0   13.3   86.4    330
 2001 254     4    0.0   11.7   12.6   20.9   41.8   0.09   17.0    5.7   11.1   13.3    5.7   11.1   13.3   86.4    330
 2001 255     5    3.0   11.7   12.6   16.1   32.2   0.30   19.7    3.8   11.3   14.5    3.8   11.3   14.5   86.4    330
 2001 256     6    0.0   11.7   12.6   15.7   31.4   0.33   21.3    7.7   14.2   16.9    7.7   14.2   16.9   86.4    330
 2001 257     7    0.0   11.8   12.7   12.6   25.2   0.46   15.7    7.2   11.2   12.9    7.2   11.2   12.9   86.4    330
 2001 258     8    1.6   11.8   12.7   16.7   33.4   0.29   13.9    5.2    9.3   11.1    5.2    9.3   11.1   86.4    330
 2001 259     9    0.0   11.8   12.7   14.4   28.8   0.40   12.0    5.0    8.3    9.7    5.0    8.3    9.7   86.4    330
 2001 260    10    0.0   11.9   12.8   19.4   38.8   0.19   16.2    2.9    9.2   11.9    2.9    9.2   11.9   86.4    330
 2001 261    11    0.0   11.9   12.8   21.1   42.2   0.13   22.5    6.2   14.0   17.2    6.2   14.0   17.2   86.4    330
 2001 262    12    0.0   11.9   12.8   16.1   32.2   0.34   23.2   10.0   16.3   19.0   10.0   16.3   19.0   86.4    330
 2001 263    13    0.0   12.0   12.9   21.7   43.4   0.12   25.5   11.8   18.3   21.1   11.8   18.3   21.1   86.4    330
 2001 264    14    0.0   12.0   12.9   10.9   21.8   0.56   25.0   14.5   19.5   21.2   14.5   19.5   21.2   86.4    330
 2001 265    15    0.0   12.0   12.9   15.9   31.8   0.36   25.8   12.8   19.0   21.1   12.8   19.0   21.1   86.4    330
