*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 03, 2016; 15:38:59

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0134 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1987 293    81   115     3     4.2  209.5   16605  189.5   20.0  45.7  44.6  20.8  12.4  11.7   5.3   3.2   2.0   0.0   0.0   0.1   0.6   1.3   0.7   1.0  2.40  1.09  0.60  0.00  0.00   41.55  100.33    1.35    0.00    1.25
 1987 294    82   115     3     4.2  206.6   16604  186.6   19.9  45.2  43.2  20.3  12.3  11.6   5.3   3.2   2.0   0.0   0.0   0.1   0.6   1.2   0.7   1.0  2.41  1.09  0.60  0.00  0.00   42.15  100.91    1.36    0.00    1.26
 1987 295    83   115     3     4.2  203.6   16603  183.8   19.8  44.6  41.9  19.8  12.2  11.6   5.3   3.2   2.0   0.0   0.0   0.1   0.6   1.2   0.7   1.0  2.42  1.09  0.60  0.00  0.00   42.77  101.60    1.37    0.00    1.28
 1987 296    84   115     3     4.2  200.9   16603  181.2   19.7  44.0  40.7  19.4  12.1  11.5   5.3   3.2   2.0   0.0   0.0   0.1   0.5   1.2   0.7   1.0  2.43  1.09  0.59  0.00  0.00   43.39  102.29    1.37    0.00    1.30
 1987 297    85   115     3     4.2  196.8   16602  177.2   19.5  42.8  39.1  18.7  11.9  11.4   5.3   3.3   2.1   0.0   0.0   0.1   0.5   1.1   0.7   0.9  2.45  1.09  0.59  0.00  0.00   44.03  103.00    1.38    0.00    1.31
 1987 298    86   115     3     4.2  193.3   16601  173.9   19.4  41.8  37.7  18.2  11.8  11.4   5.3   3.3   2.1   0.0   0.0   0.1   0.5   1.1   0.7   0.9  2.46  1.09  0.59  0.00  0.00   44.68  103.71    1.39    0.00    1.33
 1987 299    87   115     3     4.2  191.1   16601  171.8   19.3  41.2  36.7  17.9  11.7  11.3   5.3   3.3   2.1   0.0   0.0   0.1   0.4   1.1   0.7   0.9  2.47  1.09  0.59  0.00  0.00   45.30  104.39    1.40    0.00    1.33
 1987 300    88   115     3     4.2  188.1   16600  168.9   19.2  40.5  35.5  17.4  11.6  11.2   5.4   3.3   2.1   0.0   0.0   0.1   0.4   1.1   0.7   0.9  2.48  1.09  0.58  0.00  0.00   45.92  105.06    1.41    0.00    1.33
 1987 301    89   115     3     4.2  185.5   16600  166.4   19.1  18.7  39.1  20.8  11.5  11.2   5.4   3.3   2.1   0.0   0.0   0.1   0.4   1.0   0.6   0.8  2.50  1.09  0.58  0.00  0.00   46.51  105.69    1.42    0.00    1.33
 1987 302    90   115     3     4.2  181.2   16599  161.9   19.2  17.8  36.7  20.5  11.3  11.0   5.4   3.3   2.1   0.0   0.0   0.2   0.5   1.0   0.6   0.8  2.51  1.09  0.58  0.00  0.00   47.17  106.15    1.43    0.00    1.33
