*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 19, 2016; 14:33:09

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0218 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 2000 269    41     0     0     4.5  110.6   16624   91.7   18.9   1.3   3.3   9.3  10.4  10.2   5.2   3.0   1.9   0.0   0.0   0.1   0.7   1.8   1.1   1.0  1.79  0.91  0.64  0.00  0.00   22.22   26.99    2.57    0.00    0.00
 2000 270    42     0     0     4.5  110.8   16623   91.9   18.8   1.4   3.4   9.3  10.4  10.1   5.2   3.0   1.9   0.0   0.0   0.1   0.7   1.7   1.1   1.1  1.81  0.92  0.64  0.00  0.00   22.71   27.50    2.59    0.00    0.00
 2000 271    43     0     0     4.5  111.1   16623   92.3   18.8   1.5   3.5   9.4  10.4  10.1   5.2   3.0   1.9   0.0   0.0   0.1   0.7   1.7   1.1   1.1  1.82  0.92  0.64  0.00  0.00   23.18   27.99    2.61    0.00    0.00
 2000 272    44     0     0     4.5  111.4   16622   92.7   18.7   1.7   3.6   9.4  10.5  10.2   5.2   3.1   1.9   0.0   0.0   0.1   0.6   1.6   1.1   1.1  1.83  0.92  0.63  0.00  0.00   23.68   28.57    2.62    0.00    0.00
 2000 273    45     0     0     4.5  111.3   16622   92.7   18.6   1.8   3.6   9.3  10.5  10.2   5.2   3.1   1.9   0.0   0.0   0.1   0.6   1.6   1.0   1.1  1.84  0.92  0.63  0.00  0.00   24.21   29.17    2.64    0.00    0.00
 2000 274    46     0     0     4.5  111.0   16621   92.6   18.4   1.4   3.7   9.1  10.6  10.2   5.2   3.1   1.9   0.0   0.0   0.1   0.6   1.5   1.0   1.1  1.86  0.92  0.63  0.00  0.00   24.79   29.82    2.65    0.00    0.00
 2000 275    47     0     0     4.5  110.6   16621   92.2   18.4   1.4   3.6   8.9  10.6  10.2   5.2   3.1   1.9   0.0   0.0   0.1   0.7   1.4   1.0   1.1  1.87  0.93  0.62  0.00  0.00   25.44   30.40    2.67    0.00    0.00
 2000 276    48     0     0     4.6  110.0   16620   91.8   18.2   0.8   2.8   7.7  10.3  10.8   5.6   3.3   2.0   0.0   0.0   0.1   0.6   1.3   0.9   1.1  1.89  0.93  0.62  0.00  0.00   26.13   31.17    2.68    0.00    0.00
 2000 277    49     0     0     4.7  109.5   16619   90.9   18.7   0.6   2.4   6.9   9.7  10.6   6.0   3.5   2.1   0.0   0.0   0.2   0.7   1.4   1.0   1.2  1.90  0.93  0.62  0.00  0.00   26.80   31.34    2.83    0.00    0.00
 2000 278    50     0     0     5.6  108.0   16619   89.1   18.9   0.7   2.3   6.4   9.2  10.2   6.0   3.7   2.2   0.0   0.0   0.1   0.8   1.4   1.0   1.2  1.92  0.94  0.61  0.00  0.00   27.43   31.61    3.03    0.00    0.00
 2000 279    51     0     0     6.1  106.3   16618   87.2   19.1   0.8   2.1   5.9   8.8  10.0   6.0   3.8   2.3   0.0   0.0   0.1   0.8   1.4   1.0   1.2  1.94  0.94  0.61  0.00  0.00   28.04   31.86    3.14    0.00    0.00
 2000 280    52     0     0     6.4  105.1   16617   86.2   19.0   0.9   2.1   5.6   8.5   9.9   6.0   3.8   2.4   0.0   0.0   0.1   0.7   1.4   1.0   1.2  1.95  0.94  0.61  0.00  0.00   28.61   32.43    3.21    0.00    0.00
 2000 281    53     0     0     6.5  104.2   16617   85.3   18.9   1.0   2.1   5.4   8.3   9.8   5.9   3.8   2.4   0.0   0.0   0.1   0.7   1.3   1.0   1.2  1.96  0.95  0.61  0.00  0.00   29.15   32.95    3.26    0.00    0.00
 2000 282    54     0     0     6.6  103.6   16616   84.8   18.8   1.1   2.1   5.1   8.1   9.8   5.9   3.8   2.4   0.0   0.0   0.1   0.6   1.2   1.0   1.2  1.98  0.95  0.60  0.00  0.00   29.71   33.46    3.28    0.00    0.00
 2000 283    55     0     0     6.6  102.2   16616   83.6   18.6   0.6   1.8   4.8   7.9   9.9   6.0   3.9   2.4   0.0   0.0   0.1   0.6   1.1   1.0   1.2  1.99  0.95  0.60  0.00  0.00   30.27   34.05    3.30    0.00    0.00
 2000 284    56     0     0     7.0  102.4   16615   83.4   18.9   0.7   1.8   4.7   7.7   9.7   6.1   3.9   2.5   0.0   0.0   0.1   0.7   1.2   1.0   1.3  2.00  0.95  0.60  0.00  0.00   30.82   34.27    3.33    0.00    0.00
 2000 285    57     0     0     7.1  100.4   16615   81.4   19.0   0.7   1.6   4.1   7.1   9.7   6.1   4.0   2.5   0.0   0.0   0.1   0.7   1.2   1.0   1.3  2.02  0.95  0.59  0.00  0.00   31.38   34.53    3.35    0.00    0.00
 2000 286    58     0     0     7.1   97.9   16614   79.3   18.6   0.8   1.4   3.4   6.6   9.7   6.1   4.0   2.5   0.0   0.0   0.1   0.6   1.1   0.9   1.3  2.03  0.95  0.59  0.00  0.00   31.96   35.14    3.36    0.00    0.00
 2000 287    59     0     0     7.1   96.0   16613   77.6   18.4   0.8   1.3   2.9   6.2   9.7   6.1   4.0   2.6   0.0   0.0   0.1   0.6   1.0   0.9   1.3  2.04  0.96  0.59  0.00  0.00   32.56   35.74    3.38    0.00    0.00
 2000 288    60     0     0     7.1   94.2   16613   76.0   18.2   0.8   1.2   2.5   5.9   9.5   6.1   4.0   2.6   0.0   0.0   0.1   0.6   0.9   0.8   1.3  2.05  0.96  0.58  0.00  0.00   33.16   36.31    3.40    0.00    0.00
 2000 289    61     0     0     7.1   94.1   16612   75.9   18.2   0.9   1.3   2.5   5.9   9.4   6.1   4.0   2.6   0.0   0.0   0.1   0.5   0.9   0.8   1.3  2.07  0.96  0.58  0.00  0.00   33.77   36.85    3.41    0.00    0.00
 2000 290    62     0     0     7.1   93.0   16612   74.9   18.1   0.8   1.3   2.3   5.7   9.2   6.1   4.0   2.6   0.0   0.0   0.1   0.5   0.9   0.8   1.3  2.08  0.96  0.58  0.00  0.00   34.38   37.40    3.42    0.00    0.00
 2000 291    63     0     0     7.1   91.1   16611   73.2   17.9   0.8   1.3   2.1   5.4   8.9   6.1   4.0   2.6   0.0   0.0   0.1   0.5   0.9   0.7   1.2  2.09  0.96  0.58  0.00  0.00   35.00   38.04    3.44    0.00    0.00
 2000 292    64     0     0     7.1   89.2   16610   71.5   17.7   0.8   1.2   1.8   5.1   8.5   6.1   4.0   2.6   0.0   0.0   0.1   0.5   0.8   0.7   1.1  2.11  0.96  0.57  0.00  0.00   35.59   38.63    3.45    0.00    0.00
 2000 293    65     0     0     7.1   87.3   16610   69.8   17.5   0.5   1.0   1.7   4.8   8.1   6.1   4.1   2.6   0.0   0.0   0.1   0.5   0.8   0.7   1.1  2.12  0.96  0.57  0.00  0.00   36.19   39.21    3.46    0.00    0.00
 2000 294    66     0     0     7.1   84.4   16609   66.8   17.6   0.4   0.9   1.3   4.4   7.4   6.1   4.1   2.6   0.0   0.0   0.2   0.6   0.8   0.7   1.0  2.13  0.97  0.57  0.00  0.00   36.79   39.54    3.47    0.00    0.00
 2000 295    67     0     0     7.1   82.5   16609   65.1   17.5   0.6   0.8   1.2   4.1   6.9   6.1   4.1   2.6   0.0   0.0   0.1   0.7   0.8   0.6   0.9  2.15  0.97  0.57  0.00  0.00   37.42   40.07    3.48    0.00    0.00
 2000 296    68     0     0     7.2   77.6   16608   60.6   17.0   0.1   0.4   0.6   2.7   5.6   6.5   4.4   2.7   0.0   0.0   0.1   0.6   0.7   0.6   0.8  2.16  0.97  0.56  0.00  0.00   38.07   40.72    3.49    0.00    0.00
 2000 297    69     0     0     7.4   76.0   16607   58.7   17.3   0.1   0.3   0.5   2.4   5.0   6.4   4.5   2.8   0.0   0.0   0.2   0.6   0.8   0.6   0.8  2.18  0.97  0.56  0.00  0.00   38.70   40.84    3.60    0.00    0.00
 2000 298    70     0     0     8.3   72.9   16607   55.4   17.5   0.2   0.3   0.3   1.9   4.1   6.2   4.6   3.0   0.0   0.0   0.3   0.7   0.8   0.6   0.8  2.19  0.98  0.56  0.00  0.00   39.33   40.99    3.70    0.00    0.00
 2000 299    71     0     0    11.0   68.4   16606   51.1   17.4   0.4   0.2   0.2   1.0   2.7   5.6   4.9   3.6   0.0   0.0   0.1   0.7   0.8   0.6   0.8  2.19  0.98  0.56  0.00  0.00   39.95   41.31    3.76    0.00    0.00
 2000 300    72     0     0    12.5   65.3   16606   47.9   17.4   0.1   0.2   0.2   0.7   2.0   5.2   5.0   3.8   0.0   0.0   0.2   0.7   0.8   0.7   0.8  2.17  0.99  0.56  0.00  0.00   40.56   41.43    3.89    0.00    0.00
 2000 301    73     0     0    14.2   61.2   16605   44.1   17.1   0.2   0.2   0.2   0.6   1.6   4.6   4.8   3.8   0.0   0.0   0.3   0.8   0.8   0.7   0.8  2.07  0.99  0.56  0.00  0.00   41.15   41.55    4.04    0.00    0.00
 2000 302    74     0     0    15.0   55.9   16604   40.0   15.9   0.5   0.3   0.3   0.4   1.3   3.8   4.7   3.8   0.0   0.0   0.1   0.7   0.7   0.6   0.7  1.87  1.00  0.56  0.00  0.00   41.78   41.87    4.12    0.00    0.00
 2000 303    75     0     0    15.3   51.2   16604   36.6   14.6   0.4   0.4   0.3   0.4   1.0   3.1   4.7   3.7   0.0   0.0   0.1   0.5   0.6   0.6   0.7  1.65  1.00  0.56  0.00  0.00   42.41   42.40    4.16    0.00    0.00
 2000 304    76     0     0    15.5   47.4   16603   33.8   13.6   0.4   0.4   0.3   0.3   0.8   2.6   4.6   3.7   0.0   0.0   0.1   0.5   0.6   0.6   0.6  1.46  1.00  0.56  0.00  0.00   43.04   42.91    4.17    0.00    0.00
 2000 305    77     0     0    15.6   44.4   16603   31.7   12.8   0.4   0.4   0.3   0.3   0.7   2.2   4.6   3.7   0.0   0.0   0.1   0.5   0.6   0.6   0.6  1.30  1.00  0.55  0.00  0.00   43.69   43.47    4.18    0.00    0.00
 2000 306    78     0     0    15.6   42.1   16602   30.0   12.2   0.3   0.4   0.3   0.3   0.6   1.8   4.6   3.7   0.0   0.0   0.1   0.5   0.6   0.5   0.6  1.16  1.00  0.55  0.00  0.00   44.35   44.03    4.18    0.00    0.00
