*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:27

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0397 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 2000 263    31  14.80  21.20  14.80  3.475  3.475  0.019  3.456  0.000   48.8    0.3   48.5    0.0
 2000 264    32   9.60  21.40  13.20  2.229  2.229  0.013  2.216  0.000   51.0    0.3   50.7    0.0
 2000 265    33   9.20  17.50  12.60  2.019  2.019  0.013  2.006  0.000   53.0    0.3   52.7    0.0
 2000 266    34  23.10  19.00   8.20  4.971  3.731  0.059  3.672  0.000   56.7    0.3   56.4    0.0
 2000 267    35  15.30  21.30   8.10  3.393  2.105  0.043  2.062  0.000   58.9    0.4   58.5    0.0
 2000 268    36  20.70  12.60   5.70  3.960  2.108  0.055  2.053  0.000   61.0    0.4   60.5    0.0
 2000 269    37  22.80  13.40   2.00  4.249  1.373  0.060  1.313  0.000   62.3    0.5   61.8    0.0
 2000 270    38  21.90  16.20   2.10  4.266  1.109  0.061  1.048  0.000   63.4    0.6   62.9    0.0
 2000 271    39  23.50  24.10   6.40  5.325  0.977  0.079  0.898  0.000   64.4    0.6   63.8    0.0
 2000 272    40  23.30  26.00  10.30  5.589  0.888  0.089  0.799  0.000   65.3    0.7   64.6    0.0
 2000 273    41  19.60  26.70  11.50  4.787  0.811  0.084  0.727  0.000   66.1    0.8   65.3    0.0
 2000 274    42  18.90  25.40  13.70  4.624  4.624  0.056  4.568  0.000   70.7    0.9   69.9    0.0
 2000 275    43  17.80  24.60  15.00  4.357  3.248  0.097  3.151  0.000   74.0    1.0   73.0    0.0
 2000 276    44   7.00  18.60  15.90  1.601  1.601  0.025  1.576  0.000   75.6    1.0   74.6    0.0
 2000 277    45  10.50  20.60  13.10  2.405  2.405  0.041  2.364  0.000   78.0    1.0   77.0    0.0
 2000 278    46  19.50  18.30  12.10  4.294  4.111  0.127  3.984  0.000   82.1    1.2   80.9    0.0
 2000 279    47  24.30  18.40   7.40  5.133  3.331  0.161  3.170  0.000   85.4    1.3   84.1    0.0
 2000 280    48  25.00  18.60   5.10  5.181  1.614  0.169  1.445  0.000   87.1    1.5   85.6    0.0
 2000 281    49  23.90  21.70   6.70  5.246  1.288  0.178  1.110  0.000   88.3    1.7   86.7    0.0
 2000 282    50  24.90  22.60   9.90  5.686  5.007  0.207  4.800  0.000   93.3    1.9   91.5    0.0
