*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 19:11:27

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0384 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  TS1D  TS2D  TS3D  TS4D  TS5D  TS6D  TS7D  TS8D  TS9D  TS10
 2000 015   148  31.4  29.5  26.7  24.1  22.2  20.2  19.0  18.4   0.0   0.0
 2000 016   149  31.0  29.1  26.4  23.9  22.0  20.1  18.9  18.4   0.0   0.0
 2000 017   150  29.6  27.9  25.5  23.2  21.5  19.8  18.7  18.2   0.0   0.0
 2000 018   151  28.4  26.9  24.7  22.6  21.1  19.5  18.5  18.1   0.0   0.0
 2000 019   152  29.6  27.9  25.5  23.2  21.5  19.8  18.7  18.2   0.0   0.0
 2000 020   153  30.2  28.5  26.0  23.6  21.8  19.9  18.8  18.3   0.0   0.0
 2000 021   154  30.5  28.7  26.1  23.7  21.9  20.0  18.8  18.3   0.0   0.0
 2000 022   155  30.4  28.6  26.1  23.7  21.9  20.0  18.8  18.3   0.0   0.0
 2000 023   156  30.0  28.3  25.8  23.5  21.7  19.9  18.8  18.3   0.0   0.0
 2000 024   157  29.5  27.8  25.5  23.2  21.5  19.8  18.7  18.2   0.0   0.0
 2000 025   158  28.5  27.0  24.8  22.8  21.2  19.6  18.6  18.1   0.0   0.0
 2000 026   159  27.6  26.2  24.2  22.3  20.8  19.4  18.4  18.0   0.0   0.0
 2000 027   160  27.9  26.5  24.4  22.5  21.0  19.4  18.5  18.1   0.0   0.0
 2000 028   161  28.2  26.7  24.6  22.6  21.1  19.5  18.5  18.1   0.0   0.0
 2000 029   162  28.9  27.4  25.2  23.0  21.4  19.7  18.6  18.2   0.0   0.0
 2000 030   163  29.0  27.4  25.2  23.0  21.4  19.7  18.6  18.2   0.0   0.0
 2000 031   164  28.1  26.7  24.7  22.7  21.2  19.6  18.6  18.1   0.0   0.0
 2000 032   165  27.2  25.9  24.0  22.2  20.8  19.4  18.4  18.0   0.0   0.0
 2000 033   166  26.3  25.2  23.5  21.8  20.5  19.2  18.3  17.9   0.0   0.0
 2000 034   167  25.4  24.4  22.9  21.4  20.2  18.9  18.2  17.8   0.0   0.0
 2000 035   168  25.1  24.1  22.6  21.2  20.1  18.9  18.1  17.8   0.0   0.0
 2000 036   169  26.3  25.1  23.5  21.8  20.5  19.2  18.3  18.0   0.0   0.0
 2000 037   170  28.5  27.1  25.0  23.0  21.4  19.8  18.7  18.2   0.0   0.0

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 19:11:27

*RUN   2        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0384 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  TS1D  TS2D  TS3D  TS4D  TS5D  TS6D  TS7D  TS8D  TS9D  TS10
 2000 232     0  19.6  19.2  18.7  18.4  18.2  18.1  18.1  18.0   0.0   0.0
 2000 233     1  19.4  19.0  18.5  18.2  18.1  18.1  18.0  17.9   0.0   0.0
 2000 234     2  19.9  19.4  18.9  18.5  18.3  18.2  18.1  18.0   0.0   0.0
 2000 235     3  20.7  20.1  19.4  18.9  18.6  18.3  18.2  18.1   0.0   0.0
 2000 236     4  21.0  20.3  19.5  19.0  18.7  18.4  18.2  18.1   0.0   0.0
 2000 237     5  19.7  19.2  18.7  18.3  18.2  18.1  18.0  18.0   0.0   0.0
 2000 238     6  19.2  18.8  18.3  18.1  18.0  17.9  17.9  17.9   0.0   0.0
 2000 239     7  18.0  17.7  17.5  17.4  17.5  17.6  17.7  17.7   0.0   0.0
 2000 240     8  16.9  16.7  16.7  16.8  17.0  17.3  17.5  17.6   0.0   0.0
 2000 241     9  15.0  15.1  15.4  15.9  16.3  16.8  17.2  17.4   0.0   0.0
 2000 242    10  14.4  14.6  15.0  15.5  16.0  16.7  17.1  17.3   0.0   0.0
 2000 243    11  15.1  15.2  15.4  15.8  16.3  16.8  17.2  17.4   0.0   0.0
 2000 244    12  14.8  14.9  15.2  15.7  16.1  16.7  17.1  17.3   0.0   0.0
 2000 245    13  14.0  14.2  14.7  15.3  15.8  16.5  17.0  17.2   0.0   0.0
 2000 246    14  14.6  14.7  15.1  15.5  16.0  16.6  17.1  17.3   0.0   0.0
 2000 247    15  14.6  14.7  15.1  15.5  16.0  16.6  17.1  17.3   0.0   0.0
 2000 248    16  14.6  14.7  15.0  15.5  16.0  16.6  17.0  17.3   0.0   0.0
 2000 249    17  15.4  15.4  15.6  15.9  16.3  16.8  17.2  17.3   0.0   0.0
 2000 250    18  16.7  16.5  16.5  16.6  16.8  17.1  17.4  17.5   0.0   0.0
 2000 251    19  18.5  18.1  17.7  17.5  17.5  17.6  17.6  17.7   0.0   0.0
 2000 252    20  20.5  19.8  19.1  18.5  18.2  18.0  18.0  17.9   0.0   0.0
 2000 253    21  20.9  20.2  19.3  18.7  18.4  18.1  18.0  17.9   0.0   0.0
 2000 254    22  21.7  20.8  19.8  19.1  18.6  18.3  18.1  18.0   0.0   0.0
 2000 255    23  21.7  20.9  19.9  19.1  18.6  18.3  18.1  18.0   0.0   0.0
 2000 256    24  19.8  19.2  18.5  18.1  17.9  17.8  17.8  17.8   0.0   0.0
 2000 257    25  16.7  16.5  16.4  16.5  16.7  17.0  17.3  17.4   0.0   0.0
 2000 258    26  14.7  14.8  15.0  15.4  15.9  16.5  16.9  17.2   0.0   0.0
 2000 259    27  13.0  13.3  13.8  14.5  15.2  16.0  16.6  16.9   0.0   0.0
 2000 260    28  12.2  12.6  13.3  14.1  14.8  15.8  16.5  16.8   0.0   0.0
 2000 261    29  12.9  13.2  13.8  14.4  15.1  15.9  16.6  16.9   0.0   0.0
 2000 262    30  14.4  14.5  14.8  15.2  15.7  16.3  16.8  17.1   0.0   0.0
 2000 263    31  16.3  16.2  16.1  16.2  16.4  16.8  17.1  17.3   0.0   0.0
 2000 264    32  17.6  17.3  17.0  16.8  16.9  17.1  17.3  17.4   0.0   0.0
 2000 265    33  17.9  17.5  17.1  17.0  17.0  17.1  17.3  17.4   0.0   0.0
 2000 266    34  18.0  17.6  17.2  17.0  17.0  17.2  17.4  17.5   0.0   0.0
 2000 267    35  18.4  17.9  17.5  17.2  17.2  17.3  17.4  17.5   0.0   0.0
 2000 268    36  17.0  16.7  16.5  16.5  16.6  16.9  17.2  17.3   0.0   0.0
 2000 269    37  15.6  15.5  15.6  15.8  16.1  16.5  16.9  17.2   0.0   0.0
 2000 270    38  15.2  15.2  15.3  15.6  15.9  16.4  16.9  17.1   0.0   0.0
