*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 17:50:38

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0265 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1999 275    43     0     0     0.0   76.5   16622   63.3   13.2   3.7  10.9  10.7   7.2   4.4   0.8   1.3   1.3   0.0   0.0   0.2   0.4   1.0   0.5   0.6  1.59  0.64  0.43  0.00  0.00   23.61   34.20    0.00    0.00    0.00
 1999 276    44     0     0     0.0   76.9   16622   63.8   13.1   3.8  10.9  10.8   7.2   4.4   0.8   1.4   1.3   0.0   0.0   0.1   0.4   1.0   0.5   0.6  1.59  0.63  0.42  0.00  0.00   24.08   34.72    0.00    0.00    0.00
 1999 277    45     0     0     0.0   77.3   16622   64.2   13.1   3.9  10.8  10.9   7.2   4.4   0.8   1.4   1.3   0.0   0.0   0.1   0.4   1.0   0.5   0.6  1.59  0.62  0.42  0.00  0.00   24.52   35.21    0.00    0.00    0.00
 1999 278    46     0     0     0.0   77.6   16621   64.6   13.0   3.9  10.9  11.0   7.3   4.4   0.8   1.4   1.3   0.0   0.0   0.1   0.4   1.0   0.5   0.6  1.59  0.62  0.41  0.00  0.00   24.93   35.67    0.00    0.00    0.00
 1999 279    47     0     0     0.0   77.9   16621   65.0   13.0   4.0  10.9  11.0   7.3   4.5   0.8   1.4   1.3   0.0   0.0   0.1   0.4   1.0   0.5   0.6  1.59  0.61  0.40  0.00  0.00   25.31   36.09    0.00    0.00    0.00
 1999 280    48     0     0     0.0   78.2   16620   65.3   12.9   3.3  11.3  11.1   7.3   4.5   0.9   1.4   1.3   0.0   0.0   0.1   0.4   1.0   0.5   0.6  1.59  0.60  0.39  0.00  0.00   25.72   36.54    0.00    0.00    0.00
 1999 281    49     0     0     0.0   78.6   16620   65.7   12.9   3.3  11.2  11.2   7.3   4.5   0.9   1.4   1.3   0.0   0.0   0.1   0.4   1.0   0.5   0.6  1.59  0.59  0.38  0.00  0.00   26.14   36.99    0.00    0.00    0.00
 1999 282    50     0     0     0.0   78.9   16619   66.1   12.8   3.3  11.1  11.3   7.4   4.5   0.9   1.5   1.4   0.0   0.0   0.1   0.5   1.0   0.5   0.6  1.59  0.59  0.37  0.00  0.00   26.59   37.46    0.00    0.00    0.00
 1999 283    51     0     0     0.0   79.2   16619   66.4   12.8   3.4  11.1  11.4   7.4   4.5   0.9   1.5   1.4   0.0   0.0   0.1   0.5   1.0   0.5   0.6  1.59  0.58  0.37  0.00  0.00   27.06   37.95    0.00    0.00    0.00
 1999 284    52     0     0     0.0   79.5   16618   66.8   12.8   3.5  11.1  11.5   7.4   4.5   0.9   1.5   1.4   0.0   0.0   0.1   0.5   1.0   0.5   0.5  1.59  0.57  0.36  0.00  0.00   27.56   38.47    0.00    0.00    0.00
 1999 285    53     0     0     0.0   79.8   16618   67.1   12.7   1.6   8.9  13.2   7.9   4.6   0.9   1.5   1.4   0.0   0.0   0.1   0.5   1.0   0.5   0.5  1.59  0.56  0.35  0.00  0.00   28.07   39.00    0.00    0.00    0.00
 1999 286    54     0     0     0.0   80.2   16617   67.3   13.0   0.9   6.7  11.8   9.1   5.9   1.0   1.5   1.4   0.0   0.0   0.2   0.6   1.0   0.5   0.5  1.59  0.56  0.34  0.00  0.00   28.62   39.29    0.00    0.00    0.00
 1999 287    55     0     0     0.0   80.6   16617   67.4   13.2   1.1   6.6  11.6   8.8   6.0   1.2   1.5   1.4   0.0   0.0   0.1   0.6   1.1   0.5   0.6  1.58  0.55  0.34  0.00  0.00   29.17   39.57    0.00    0.00    0.00
 1999 288    56     0     0     0.2   80.9   16616   67.4   13.5   1.2   6.5  11.4   8.6   6.0   1.3   1.5   1.4   0.0   0.0   0.1   0.7   1.2   0.5   0.6  1.60  0.54  0.33  0.00  0.00   29.73   39.80    0.00    0.00    0.00
 1999 289    57     0     0     0.3   81.2   16616   67.5   13.7   1.4   6.5  11.3   8.5   6.0   1.4   1.6   1.4   0.0   0.0   0.1   0.7   1.3   0.6   0.6  1.61  0.54  0.32  0.00  0.00   30.29   40.16    0.00    0.00    0.00
 1999 290    58     0     0     0.3   81.4   16615   67.6   13.8   1.7   6.5  11.3   8.5   6.0   1.4   1.6   1.5   0.0   0.0   0.1   0.6   1.3   0.6   0.6  1.61  0.53  0.32  0.00  0.00   30.84   40.57    0.00    0.00    0.00
