*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:29

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0398 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 1999 364   132   129   200.8    34.2   105.2    6.40    2.50    152.6   123.7    62.9    42.3    4.24    1.55     3.3    1.2    1.7   34.48    4.71
 1999 365   133   130   203.6    38.0   103.2    6.38    2.47    158.5   124.1    61.7    41.5    4.20    1.53     3.3    1.2    5.7   36.05    4.80
 2000 001   134   131   207.0    42.0   101.6    6.36    2.44    163.4   125.4    60.7    40.9    4.16    1.51     3.3    1.2    4.9   37.44    4.90
 2000 002   135   132   210.3    46.3    99.7    6.35    2.41    169.1   125.6    59.6    40.1    4.12    1.49     3.3    1.2    5.7   38.80    5.00
 2000 003   136   133   213.8    50.7    98.0    6.34    2.38    174.6   126.3    58.6    39.5    4.08    1.47     3.2    1.2    5.5   40.12    5.09
 2000 004   137   134   216.7    55.3    96.2    6.33    2.35    179.8   126.8    57.5    38.8    4.04    1.45     3.2    1.2    5.3   41.81    5.18
 2000 005   138   135   219.6    60.4    94.1    6.34    2.32    184.4   127.8    56.2    37.9    4.00    1.43     3.2    1.1    4.5   43.60    5.29
 2000 006   139   136   222.8    65.7    92.2    6.35    2.29    189.6   128.4    55.1    37.1    3.96    1.41     3.1    1.1    5.2   45.08    5.39
 2000 007   140   137   226.1    71.3    90.2    6.37    2.26    194.0   129.4    53.9    36.3    3.92    1.39     3.1    1.1    4.4   46.45    5.49
 2000 008   141   138   229.9    76.9    88.9    6.39    2.24    198.5   130.4    53.1    35.8    3.89    1.38     3.1    1.1    4.4   47.81    5.60
 2000 009   142   139   232.2    82.8    87.1    6.42    2.22    201.8   130.8    52.0    35.1    3.86    1.36     3.0    1.1    3.4   49.35    5.70
 2000 010   143   140   235.3    89.5    84.8    6.43    2.18    205.5   131.9    50.6    34.1    3.81    1.34     3.0    1.1    3.6   50.40    5.81
 2000 011   144   141   239.0    96.3    82.5    6.44    2.14    209.9   133.0    49.3    33.2    3.75    1.31     2.9    1.1    4.4   51.44    5.91
 2000 012   145   142   241.5   103.2    80.4    6.46    2.11    213.6   133.7    48.1    32.3    3.71    1.29     2.8    1.1    3.7   53.26    6.02
 2000 013   146   143   245.4   110.4    78.6    6.47    2.08    217.7   134.4    47.0    31.6    3.67    1.27     2.8    1.1    4.1   54.13    6.11
 2000 014   147   144   245.6   115.4    76.4    6.46    2.05    218.0   135.1    45.7    30.7    3.61    1.24     2.7    1.1    0.3   55.01    6.24
 2000 015   148   145   249.1   123.7    74.0    6.49    2.00    221.2   136.0    44.3    29.7    3.55    1.21     2.6    1.1    3.1   55.60    6.34
 2000 016   149   146   252.5   131.8    71.7    6.51    1.96    223.6   137.3    42.9    28.7    3.49    1.18     2.5    1.1    2.5   56.15    6.44
 2000 017   150   147   253.0   136.9    69.3    6.51    1.91    223.8   138.0    41.6    27.8    3.42    1.15     2.5    1.1    0.2   56.63    6.78
 2000 018   151   148   257.5   146.0    67.1    6.52    1.87    228.0   139.0    40.3    26.8    3.36    1.12     2.4    1.1    4.2   57.46    6.86
