*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:17

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0147 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 330   110   142      1    107    421     1    42   125  0.557  0.559  0.521  0.380  0.374  0.358  0.363  0.392  0.000  0.000
 1990 331   111   136      1    107    421     1    42   125  0.533  0.537  0.519  0.377  0.370  0.356  0.360  0.391  0.000  0.000
 1990 332   112   129      1    107    421     1    42   125  0.517  0.521  0.508  0.374  0.367  0.355  0.358  0.389  0.000  0.000
 1990 333   113   123      1    107    421     1    42   125  0.498  0.506  0.495  0.371  0.364  0.353  0.355  0.386  0.000  0.000
 1990 334   114   119      1    107    421     1    42   125  0.491  0.497  0.489  0.370  0.363  0.353  0.355  0.383  0.000  0.000
 1990 335   115   114      1    107    421     1    42   125  0.477  0.486  0.479  0.368  0.361  0.352  0.353  0.380  0.000  0.000
 1990 336   116   112      1    107    421     1    42   125  0.473  0.480  0.475  0.368  0.360  0.351  0.353  0.378  0.000  0.000
 1990 337   117   116      1    107    431     1    42   125  0.549  0.521  0.464  0.365  0.358  0.350  0.351  0.373  0.000  0.000
 1990 338   118   110      1    107    431     1    42   125  0.509  0.512  0.457  0.363  0.356  0.349  0.349  0.367  0.000  0.000
 1990 339   119   106      1    107    431     1    42   125  0.496  0.498  0.453  0.361  0.355  0.348  0.348  0.364  0.000  0.000
 1990 340   120   144      1    107    473     1    42   125  0.555  0.556  0.563  0.447  0.361  0.347  0.347  0.361  0.000  0.000
 1990 341   121   199      3    107    536     1    42   125  0.549  0.559  0.559  0.459  0.460  0.446  0.399  0.357  0.000  0.000
 1990 342   122   192      3    107    536     1    42   125  0.530  0.547  0.547  0.445  0.444  0.430  0.403  0.394  0.000  0.000
 1990 343   123   188      3    109    536     1    42   125  0.536  0.538  0.544  0.441  0.437  0.424  0.407  0.394  0.000  0.000
 1990 344   124   222      6    141    606     1    42   125  0.565  0.567  0.566  0.468  0.459  0.446  0.438  0.430  0.000  0.000
 1990 345   125   202      6    156    606     1    42   125  0.539  0.554  0.554  0.453  0.445  0.432  0.419  0.411  0.000  0.000
 1990 346   126   193      6    162    606     1    42   125  0.534  0.546  0.547  0.445  0.437  0.425  0.412  0.402  0.000  0.000
 1990 347   127   186      6    165    606     1    42   125  0.530  0.538  0.542  0.439  0.432  0.420  0.407  0.397  0.000  0.000
 1990 348   128   180      6    165    606     1    42   125  0.521  0.532  0.537  0.434  0.428  0.416  0.403  0.393  0.000  0.000
 1990 349   129   173      6    165    606     1    42   125  0.510  0.525  0.531  0.429  0.422  0.411  0.398  0.389  0.000  0.000
 1990 350   130   167      6    165    606     1    42   125  0.501  0.518  0.525  0.424  0.418  0.406  0.393  0.385  0.000  0.000
 1990 351   131   164      6    165    606     1    42   125  0.501  0.513  0.521  0.422  0.415  0.403  0.391  0.383  0.000  0.000
 1990 352   132   193      6    165    642     1    42   125  0.556  0.562  0.562  0.465  0.456  0.417  0.389  0.380  0.000  0.000
 1990 353   133   187      6    165    642     1    42   125  0.529  0.549  0.549  0.449  0.441  0.414  0.403  0.385  0.000  0.000
 1990 354   134   180      6    165    642     1    42   125  0.519  0.536  0.541  0.440  0.432  0.414  0.401  0.381  0.000  0.000
 1990 355   135   174      6    165    642     1    42   125  0.513  0.528  0.535  0.435  0.428  0.410  0.396  0.378  0.000  0.000
 1990 356   136   200      6    165    670     1    42   125  0.571  0.564  0.564  0.468  0.459  0.424  0.403  0.377  0.000  0.000
 1990 357   137   192      6    168    670     1    42   125  0.544  0.552  0.554  0.452  0.444  0.419  0.404  0.393  0.000  0.000
 1990 358   138   204      6    168    684     1    42   125  0.558  0.566  0.566  0.468  0.458  0.426  0.410  0.394  0.000  0.000
 1990 359   139   191      6    174    684     1    42   125  0.529  0.554  0.554  0.453  0.444  0.418  0.403  0.390  0.000  0.000
 1990 360   140   183      6    175    684     1    42   125  0.512  0.539  0.546  0.442  0.435  0.413  0.402  0.390  0.000  0.000
 1990 361   141   175      6    175    684     1    42   125  0.505  0.527  0.537  0.435  0.428  0.410  0.397  0.386  0.000  0.000
 1990 362   142   169      6    175    684     1    42   125  0.494  0.520  0.531  0.430  0.424  0.406  0.392  0.382  0.000  0.000
 1990 363   143   163      6    175    684     1    42   125  0.484  0.512  0.524  0.426  0.419  0.402  0.388  0.379  0.000  0.000
 1990 364   144   156      6    175    684     1    42   125  0.476  0.504  0.517  0.421  0.415  0.397  0.384  0.375  0.000  0.000
 1990 365   145   149      6    175    684     1    42   125  0.456  0.497  0.511  0.416  0.410  0.392  0.379  0.371  0.000  0.000
 1991 001   146   143      6    175    684     1    42   125  0.443  0.488  0.504  0.412  0.405  0.389  0.376  0.368  0.000  0.000
