*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 16:12:08

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0027 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 1990 342   151   148  119.3    0.0  119.3   0.00   1.50  160.4   57.3   62.0    1.5   1.50   0.58    0.00   10.12
 1990 343   152   149  119.7    0.0  119.7   0.00   1.51  161.2   56.4   63.2    1.5   1.51   0.58    0.00   10.33
 1990 344   153   150  120.1    3.5  116.5   1.43   1.47  162.1   55.0   61.6    1.5   1.47   0.59    0.00   10.54
 1990 345   154   151  120.4    5.8  114.6   1.41   1.44  162.8   54.1   60.6    1.4   1.44   0.59    0.00   10.75
 1990 346   155   152  120.7    8.0  112.7   1.40   1.42  163.5   53.1   59.5    1.4   1.42   0.60    0.00   10.96
 1990 347   156   153  121.1    9.9  111.2   1.40   1.40  164.2   52.4   58.8    1.4   1.40   0.60    0.00   11.18
 1990 348   157   154  121.4   12.2  109.2   1.39   1.38  164.9   51.5   57.7    1.4   1.38   0.60    0.00   11.39
 1990 349   158   155  121.7   15.6  106.1   1.38   1.34  165.6   50.1   56.1    1.3   1.34   0.61    0.00   11.61
 1990 350   159   156  122.1   18.9  103.2   1.38   1.30  166.3   48.7   54.5    1.3   1.30   0.61    0.00   11.83
 1990 351   160   157  122.4   22.2  100.2   1.37   1.28  167.0   47.8   52.4    1.3   1.28   0.62    0.00   12.05
 1990 352   161   158  122.7   24.8   97.9   1.36   1.25  167.6   46.9   51.0    1.3   1.25   0.62    0.00   12.28
 1990 353   162   159  123.0   27.6   95.4   1.35   1.20  168.2   45.0   50.4    1.2   1.20   0.62    0.00   12.50
 1990 354   163   160  123.5   30.6   93.0   1.35   1.17  169.1   43.8   49.1    1.2   1.17   0.63    0.00   12.73
 1990 355   164   161  123.9   34.1   89.8   1.33   1.13  169.8   42.3   47.4    1.1   1.13   0.63    0.00   12.95
 1990 356   165   162  124.3   37.6   86.7   1.32   1.09  170.5   40.9   45.8    1.1   1.09   0.64    0.00   13.18
 1990 357   166   163  124.6   41.0   83.7   1.31   1.05  171.2   39.5   44.2    1.1   1.05   0.64    0.00   13.41
 1990 358   167   164  125.1   44.0   81.1   1.30   1.02  172.0   38.2   42.8    1.0   1.02   0.64    0.00   13.65
 1990 359   168   165  125.5   46.6   78.9   1.29   0.99  172.7   37.2   41.7    1.0   0.99   0.65    0.00   13.88
