*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 11:52:45

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0003 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 1990 245    61    58    7.0      1   0.02     85     14      0    115     99      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.11   0.00   0.00      0      0     21.7   0.00   0.00   0.30   0.50   0.99   0.63   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       5
 1990 246    62    59    7.0      1   0.02     89     14      0    115    103      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.94   0.00   0.00      0      0     26.1   0.00   0.00   0.30   0.50   0.99   0.63   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       5
 1990 247    63    60    7.0      1   0.03     95     14      0    115    109      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.89   0.00   0.00      0      0     35.8   0.00   0.00   0.30   0.50   0.99   0.63   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       6
 1990 248    64    61    7.0      1   0.05     97     14      0    115    111      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   4.02   0.00   0.00      0      0     55.1   0.00   0.00   0.31   0.50   0.99   0.63   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       7
 1990 249    65    62    7.0      1   0.06     99     14      0    115    113      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.98   0.00   0.00      0      0     58.9   0.00   0.00   0.31   0.50   0.98   0.63   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       7
 1990 250    66    63    7.0      1   0.06    102     14      0    115    116      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.95   0.00   0.00      0      0     63.1   0.00   0.00   0.32   0.50   0.98   0.63   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       8
 1990 251    67    64    7.0      1   0.07    105     14      0    115    119      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.96   0.00   0.00      0      0     66.3   0.00   0.00   0.32   0.50   0.98   0.63   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       8
 1990 252    68    65    8.0      1   0.10    121     14      0    117    135      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.52   0.00   0.00      0      0     84.3   0.00   0.00   0.33   0.51   1.00   0.64   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       9
 1990 253    69    66    8.0      1   0.14    140     14      0    120    154      0    0.0  0.000      0      0  0.000  0.000  0.000  0.011   3.51   0.00   0.00      0      0     98.6   0.00   0.00   0.35   0.52   1.01   0.66   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0       9
 1990 254    70    67    8.0      1   0.17    156     14      0    122    170      0    0.0  0.000      0      0  0.000  0.000  0.000  0.234   3.61   0.00   0.00      0      0    107.3   0.00   0.00   0.36   0.51   1.00   0.66   0.00   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      10
 1990 255    71    68    8.0      1   0.20    173     14      0    125    187      0    0.0  0.000      0      0  0.000  0.000  0.000  0.160   3.60   0.00   0.00      0      0    114.0   0.00   0.00   0.36   0.51   1.00   0.67   0.01   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      11
 1990 256    72    69    8.0      1   0.20    187     14      0    127    201      0    0.0  0.000      0      0  0.000  0.000  0.000  0.097   3.71   0.00   0.00      0      0    105.6   0.00   0.00   0.36   0.51   1.01   0.68   0.01   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      11
 1990 257    73    70    8.0      1   0.14    207     14      0    130    221      0    0.0  0.000      0      0  0.000  0.000  0.000  0.034   3.60   0.00   0.00      0      0     68.8   0.00   0.00   0.37   0.52   1.03   0.70   0.01   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      12
 1990 258    74    71    8.0      1   0.15    218     14      0    144    232      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.77   0.00   0.00      0      0     68.5   0.00   0.00   0.37   0.56   1.12   0.80   0.03   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      13
 1990 259    75    72    9.0      1   0.18    240     14      0    154    254      0    0.0  0.000      0      0  0.000  0.000  0.000  0.000   3.60   0.00   0.00      0      0     76.7   0.00   0.00   0.38   0.60   1.18   0.86   0.05   0.00   0.00   0.00   0.00   0.00   0.00      0      0      0       0      13
