*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 11:52:45

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0003 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1990 338   154   111      1     52    448     0     0   125  0.514  0.515  0.462  0.364  0.358  0.355  0.345  0.353  0.000  0.000
 1990 339   155   106      1     52    448     0     0   125  0.501  0.501  0.457  0.363  0.357  0.354  0.344  0.351  0.000  0.000
 1990 340   156   145      1     52    490     0     0   125  0.555  0.556  0.562  0.453  0.366  0.353  0.343  0.349  0.000  0.000
 1990 341   157   199      3     52    553     0     0   125  0.550  0.558  0.558  0.459  0.460  0.446  0.411  0.350  0.000  0.000
 1990 342   158   192      3     53    553     0     0   125  0.532  0.547  0.547  0.445  0.443  0.430  0.405  0.395  0.000  0.000
 1990 343   159   188      3     55    553     0     0   125  0.537  0.539  0.544  0.441  0.437  0.424  0.407  0.394  0.000  0.000
 1990 344   160   222      6     87    623     0     0   125  0.565  0.567  0.566  0.468  0.459  0.446  0.438  0.431  0.000  0.000
 1990 345   161   202      6    101    623     0     0   125  0.541  0.554  0.554  0.450  0.445  0.433  0.419  0.413  0.000  0.000
 1990 346   162   193      6    108    623     0     0   125  0.535  0.547  0.547  0.442  0.437  0.425  0.412  0.404  0.000  0.000
 1990 347   163   186      6    111    623     0     0   125  0.531  0.539  0.542  0.437  0.432  0.420  0.407  0.398  0.000  0.000
 1990 348   164   180      6    111    623     0     0   125  0.523  0.533  0.537  0.432  0.427  0.415  0.402  0.394  0.000  0.000
 1990 349   165   173      6    111    623     0     0   125  0.513  0.526  0.531  0.427  0.422  0.410  0.397  0.391  0.000  0.000
 1990 350   166   167      6    111    623     0     0   125  0.505  0.519  0.524  0.423  0.417  0.405  0.392  0.388  0.000  0.000
 1990 351   167   163      6    111    623     0     0   125  0.504  0.514  0.520  0.420  0.414  0.403  0.390  0.386  0.000  0.000
 1990 352   168   193      6    111    659     0     0   125  0.557  0.562  0.562  0.465  0.456  0.416  0.388  0.383  0.000  0.000
 1990 353   169   187      6    111    659     0     0   125  0.532  0.549  0.549  0.449  0.441  0.414  0.403  0.385  0.000  0.000
 1990 354   170   180      6    111    659     0     0   125  0.521  0.536  0.541  0.440  0.431  0.414  0.400  0.382  0.000  0.000
 1990 355   171   174      6    111    659     0     0   125  0.516  0.529  0.535  0.435  0.427  0.409  0.395  0.379  0.000  0.000
 1990 356   172   199      6    111    687     0     0   125  0.570  0.564  0.565  0.468  0.459  0.424  0.401  0.378  0.000  0.000
 1990 357   173   192      6    114    687     0     0   125  0.544  0.552  0.554  0.452  0.444  0.418  0.404  0.393  0.000  0.000
 1990 358   174   204      6    114    702     0     0   125  0.558  0.566  0.566  0.468  0.458  0.426  0.410  0.394  0.000  0.000
 1990 359   175   191      6    120    702     0     0   125  0.531  0.553  0.554  0.453  0.444  0.417  0.403  0.391  0.000  0.000
 1990 360   176   183      6    121    702     0     0   125  0.514  0.540  0.545  0.442  0.434  0.413  0.402  0.391  0.000  0.000
 1990 361   177   175      6    121    702     0     0   125  0.507  0.528  0.537  0.435  0.428  0.409  0.396  0.387  0.000  0.000
 1990 362   178   169      6    121    702     0     0   125  0.497  0.520  0.530  0.430  0.423  0.405  0.392  0.385  0.000  0.000
 1990 363   179   163      6    121    702     0     0   125  0.486  0.513  0.524  0.426  0.419  0.401  0.388  0.382  0.000  0.000
 1990 364   180   156      6    121    702     0     0   125  0.476  0.505  0.517  0.421  0.414  0.396  0.383  0.379  0.000  0.000
 1990 365   181   149      6    121    702     0     0   125  0.457  0.497  0.510  0.415  0.409  0.391  0.379  0.375  0.000  0.000
 1991 001   182   143      6    121    702     0     0   125  0.444  0.488  0.504  0.411  0.404  0.388  0.376  0.372  0.000  0.000
 1991 002   183   137      6    121    702     0     0   125  0.429  0.480  0.497  0.406  0.400  0.385  0.373  0.369  0.000  0.000
 1991 003   184   131      6    121    702     0     0   125  0.411  0.471  0.490  0.401  0.394  0.382  0.371  0.366  0.000  0.000
 1991 004   185   125      6    121    702     0     0   125  0.400  0.462  0.483  0.395  0.388  0.379  0.368  0.363  0.000  0.000
 1991 005   186   118      6    121    702     0     0   125  0.391  0.452  0.474  0.388  0.383  0.376  0.365  0.361  0.000  0.000
 1991 006   187   112      6    121    702     0     0   125  0.382  0.442  0.465  0.382  0.379  0.373  0.362  0.358  0.000  0.000
 1991 007   188   106      6    121    702     0     0   125  0.374  0.431  0.455  0.376  0.375  0.370  0.360  0.355  0.000  0.000
 1991 008   189   100      6    121    702     0     0   125  0.366  0.422  0.444  0.372  0.371  0.367  0.357  0.352  0.000  0.000
 1991 009   190    98      6    121    702     0     0   125  0.358  0.419  0.440  0.370  0.370  0.366  0.356  0.352  0.000  0.000

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 11:52:45

*RUN   2        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0003 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1991 184     0   116      0      0      0     0     0   125  0.363  0.394  0.394  0.335  0.375  0.419  0.408  0.395  0.000  0.000
 1991 185     1   115      0      0      0     0     0   125  0.342  0.393  0.394  0.335  0.376  0.418  0.408  0.395  0.000  0.000
 1991 186     2   114      0      0      0     0     0   125  0.325  0.392  0.394  0.336  0.376  0.418  0.408  0.395  0.000  0.000
 1991 187     3   113      0      0      0     0     0   125  0.311  0.390  0.394  0.336  0.377  0.417  0.408  0.395  0.000  0.000
 1991 188     4   113      0      0      0     0     0   125  0.299  0.389  0.394  0.337  0.377  0.417  0.408  0.395  0.000  0.000
 1991 189     5   112      0      0      0     0     0   125  0.288  0.388  0.394  0.337  0.378  0.416  0.408  0.395  0.000  0.000
 1991 190     6   111      0      0      0     0     0   125  0.277  0.387  0.394  0.338  0.378  0.416  0.408  0.395  0.000  0.000
 1991 191     7   124      0      0     14     0     0   125  0.526  0.389  0.394  0.338  0.378  0.415  0.408  0.395  0.000  0.000
 1991 192     8   123      0      0     14     0     0   125  0.480  0.399  0.394  0.339  0.378  0.415  0.408  0.395  0.000  0.000
 1991 193     9   122      0      0     14     0     0   125  0.448  0.404  0.394  0.339  0.379  0.415  0.408  0.395  0.000  0.000
 1991 194    10   120      0      0     14     0     0   125  0.416  0.406  0.394  0.340  0.379  0.414  0.408  0.395  0.000  0.000
 1991 195    11   118      0      0     14     0     0   125  0.377  0.406  0.395  0.340  0.379  0.414  0.407  0.395  0.000  0.000
 1991 196    12   117      0      0     14     0     0   125  0.346  0.405  0.395  0.341  0.380  0.414  0.407  0.395  0.000  0.000
 1991 197    13   115      0      0     14     0     0   125  0.325  0.403  0.395  0.341  0.380  0.413  0.407  0.395  0.000  0.000
 1991 198    14   114      0      0     14     0     0   125  0.309  0.401  0.395  0.341  0.380  0.413  0.407  0.395  0.000  0.000
