*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 16, 2016; 17:55:43

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0214 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 2000 353    51    48   14.0      3   1.63   1248    364      0   2058   1612      0    0.0  0.000      0      0  0.632  0.755  0.023  0.000   2.30   0.00   0.00      0      0    130.8   0.00   0.00   0.62   0.55   4.00   4.00   4.00   2.04   0.01   0.00   0.00   0.00   0.00      0      0      0       0     121
 2000 354    52    49   15.0      3   1.60   1273    397      0   2090   1669      0    0.0  0.000      0      0  0.718  0.813  0.034  0.000   2.25   0.00   0.00      0      0    125.9   0.00   0.00   0.62   0.55   4.00   4.00   4.00   2.16   0.02   0.00   0.00   0.00   0.00      0      0      0       0     131
 2000 355    53    50   15.0      3   1.56   1288    422      0   2127   1711      0    0.0  0.000      0      0  0.731  0.821  0.042  0.000   2.22   0.00   0.00      0      0    121.2   0.00   0.00   0.63   0.54   4.00   4.00   4.00   2.33   0.05   0.00   0.00   0.00   0.00      0      0      0       0     141
 2000 356    54    51   15.0      3   1.54   1314    470      0   2144   1784      0    0.0  0.000      0      0  0.653  0.769  0.044  0.000   2.15   0.00   0.00      0      0    117.2   0.00   0.00   0.64   0.54   4.00   3.99   4.00   2.47   0.09   0.00   0.00   0.00   0.00      0      0      0       0     152
 2000 357    55    52   16.0      3   1.51   1335    517      0   2167   1852      0    0.0  0.000      0      0  0.703  0.802  0.044  0.000   2.09   0.00   0.00      0      0    113.1   0.00   0.00   0.65   0.54   4.00   3.97   4.00   2.67   0.18   0.00   0.00   0.00   0.00      0      0      0       0     163
 2000 358    56    53   16.0      3   1.48   1351    556      0   2214   1906      0    0.0  0.000      0      0  0.574  0.717  0.047  0.000   2.06   0.00   0.00      0      0    109.9   0.00   0.00   0.65   0.53   4.00   3.96   3.98   3.04   0.37   0.00   0.00   0.00   0.00      0      0      0       0     174
 2000 359    57    54   16.0      3   1.46   1369    602      0   2276   1971      0    0.0  0.000      0      0  0.573  0.716  0.050  0.000   2.01   0.00   0.00      0      0    106.9   0.00   0.00   0.66   0.53   3.98   3.94   4.00   3.53   0.67   0.00   0.00   0.00   0.00      0      0      0       0     185
 2000 360    58    55   17.0      3   1.45   1397    683      0   2308   2080      0    0.0  0.000      0      0  0.597  0.732  0.049  0.000   1.93   0.00   0.00      0      0    103.9   0.00   0.00   0.68   0.53   3.96   3.92   3.98   3.79   0.88   0.00   0.00   0.00   0.00      0      0      0       0     196
 2000 361    59    56   17.0      3   1.46   1430    783      0   2304   2213      0    0.0  0.000      0      0  0.379  0.586  0.049  0.000   1.99   0.00   0.00      0      0    102.2   0.00   0.00   0.69   0.53   3.94   3.92   4.00   3.79   0.87   0.00   0.00   0.00   0.00      0      0      0       0     208
 2000 362    60    57   17.0      3   1.53   1495    996      0   2338   2491      0    0.0  0.000      0      0  0.000  0.000  0.041  0.000   1.89   0.00   0.00      0      0    102.3   0.00   0.00   0.71   0.54   3.94   4.00   4.00   3.94   0.90   0.00   0.00   0.00   0.00      0      0      0       0     219
 2000 363    61    58   18.0      3   1.59   1553   1192      0   2392   2745      0    0.0  0.000      0      0  0.000  0.000  0.038  0.000   1.80   0.00   0.00      0      0    102.3   0.00   0.00   0.72   0.58   3.96   4.00   4.00   4.00   0.97   0.00   0.00   0.00   0.00      0      0      0       0     231
 2000 364    62    59   18.0      3   1.64   1608   1378      0   2393   2985      0    0.0  0.000      0      0  0.000  0.000  0.046  0.000   1.73   0.00   0.00      0      0    102.1   0.00   0.00   0.73   0.59   3.95   3.98   4.00   4.00   0.98   0.00   0.00   0.00   0.00      0      0      0       0     243
 2000 365    63    60   18.0      3   1.68   1651   1523      0   2532   3173      0    0.0  0.000      0      0  0.000  0.000  0.054  0.000   1.68   0.00   0.00      0      0    101.8   0.00   0.00   0.74   0.58   4.00   4.00   4.00   4.00   1.21   0.00   0.00   0.00   0.00      0      0      0       0     255
