*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 12:53:16

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0006 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1990 269    85    24     2     0.5  145.3   16604  130.9   14.4   5.5  13.7  24.9  17.0  10.5   2.5   2.0   1.7   0.0   0.0   0.1   0.6   1.3   0.8   0.7  1.73  0.50  0.23  0.00  0.00   41.67   73.39    0.06    0.00    1.34
 1990 270    86    24     2     0.5  144.8   16604  130.4   14.4   5.8  13.6  24.6  16.9  10.5   2.5   2.0   1.7   0.0   0.0   0.1   0.6   1.2   0.8   0.7  1.74  0.50  0.23  0.00  0.00   42.15   73.82    0.06    0.00    1.34
 1990 271    87    24     2     0.5  143.5   16603  129.0   14.4   5.9  13.3  24.0  16.8  10.5   2.5   2.0   1.7   0.0   0.0   0.1   0.5   1.2   0.8   0.8  1.76  0.51  0.23  0.00  0.00   42.66   74.27    0.07    0.00    1.34
 1990 272    88    24     2     0.5  143.1   16603  128.6   14.5   6.2  13.3  23.8  16.8  10.5   2.5   2.0   1.7   0.0   0.0   0.1   0.5   1.2   0.8   0.8  1.77  0.51  0.23  0.00  0.00   43.19   74.74    0.07    0.00    1.34
 1990 273    89    24     2     0.5  141.2   16602  126.7   14.5   6.2  12.9  23.0  16.6  10.5   2.5   2.0   1.7   0.0   0.0   0.1   0.5   1.2   0.7   0.8  1.78  0.52  0.24  0.00  0.00   43.76   75.24    0.07    0.00    1.35
 1990 274    90    24     2     0.5  139.6   16602  125.1   14.5   6.3  12.6  22.3  16.4  10.5   2.5   2.0   1.7   0.0   0.0   0.1   0.5   1.1   0.7   0.8  1.80  0.53  0.24  0.00  0.00   44.36   75.77    0.07    0.00    1.35
 1990 275    91    24     2     0.5  137.1   16601  122.8   14.4   6.3  12.2  21.5  16.2  10.5   2.5   2.0   1.7   0.0   0.0   0.1   0.5   1.1   0.7   0.8  1.80  0.53  0.24  0.00  0.00   44.98   76.46    0.07    0.00    1.35
 1990 276    92    24     2     0.5  134.3   16600  120.0   14.3   6.2  11.8  20.5  15.9  10.5   2.5   2.0   1.7   0.0   0.0   0.1   0.5   1.1   0.7   0.8  1.80  0.54  0.24  0.00  0.00   45.61   77.14    0.07    0.00    1.35
 1990 277    93    24     2     0.5  131.3   16600  117.2   14.1   6.1  11.3  19.5  15.6  10.4   2.5   2.0   1.7   0.0   0.0   0.1   0.4   1.0   0.7   0.8  1.80  0.54  0.24  0.00  0.00   46.24   77.83    0.07    0.00    1.36
 1990 278    94    24     2     0.5  127.9   16599  113.9   14.0   6.0  10.8  18.4  15.3  10.2   2.6   2.0   1.7   0.0   0.0   0.1   0.4   1.0   0.7   0.7  1.80  0.55  0.24  0.00  0.00   46.90   78.55    0.07    0.00    1.36
