*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 12:53:16

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0006 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 1990 331   147   144  145.4   11.0  134.4   1.70   1.78  185.4   59.4   75.0    1.8   1.78   0.90    0.00    7.38
 1990 332   148   145  145.8   13.6  132.2   1.70   1.75  186.5   58.4   73.8    1.8   1.75   0.89    0.00    7.59
 1990 333   149   146  146.1   17.3  128.8   1.70   1.71  187.4   56.9   71.9    1.7   1.71   0.89    0.00    7.79
 1990 334   150   147  146.6   21.5  125.0   1.70   1.66  188.3   55.2   69.8    1.7   1.66   0.90    0.00    8.00
 1990 335   151   148  147.0   25.6  121.4   1.70   1.61  189.1   53.6   67.8    1.6   1.61   0.90    0.00    8.21
 1990 336   152   149  147.5   28.9  118.5   1.69   1.58  190.0   52.5   66.0    1.6   1.58   0.91    0.00    8.42
 1990 337   153   150  147.9   31.6  116.4   1.69   1.54  190.8   51.4   65.0    1.5   1.54   0.90    0.00    8.64
 1990 338   154   151  148.4   35.0  113.4   1.68   1.50  191.6   50.1   63.3    1.5   1.50   0.90    0.00    8.86
 1990 339   155   152  148.9   39.7  109.2   1.68   1.45  192.4   48.2   61.0    1.4   1.45   0.91    0.00    9.07
 1990 340   156   153  149.5   43.9  105.6   1.67   1.40  193.3   46.6   58.9    1.4   1.40   0.91    0.00    9.29
 1990 341   157   154  149.9   47.6  102.2   1.66   1.36  193.9   45.2   57.1    1.4   1.36   0.91    0.00    9.51
 1990 342   158   155  150.3   50.6   99.8   1.65   1.32  194.6   44.1   55.7    1.3   1.32   0.90    0.00    9.73
 1990 343   159   156  150.9   52.9   98.0   1.64   1.30  195.4   43.3   54.7    1.3   1.30   0.91    0.00    9.96
 1990 344   160   157  151.1   55.5   95.7   1.64   1.27  195.8   42.3   53.4    1.3   1.27   0.92    0.00   10.18
 1990 345   161   158  151.5   58.8   92.7   1.62   1.23  196.3   41.0   51.8    1.2   1.23   0.91    0.00   10.40
 1990 346   162   159  151.9   60.8   91.1   1.62   1.21  196.9   40.3   50.9    1.2   1.21   0.91    0.00   10.63
 1990 347   163   160  152.3   63.7   88.6   1.61   1.18  197.5   39.2   49.5    1.2   1.18   0.92    0.00   10.86
 1990 348   164   161  152.9   65.6   87.3   1.60   1.16  198.3   38.5   48.7    1.2   1.16   0.91    0.00   11.08
 1990 349   165   162  153.5   68.5   85.0   1.59   1.13  199.1   37.5   47.4    1.1   1.13   0.90    0.00   11.31
 1990 350   166   163  154.0   72.2   81.9   1.58   1.09  199.9   36.2   45.7    1.1   1.09   0.90    0.00   11.54
 1990 351   167   164  154.7   76.0   78.7   1.56   1.05  200.7   34.9   43.8    1.0   1.05   0.90    0.00   11.77
 1990 352   168   165  155.2   79.3   75.9   1.55   1.01  201.5   33.5   42.4    1.0   1.01   0.90    0.00   12.00
 1990 353   169   166  155.7   82.2   73.5   1.53   0.97  202.1   32.4   41.0    1.0   0.97   0.90    0.00   12.23
 1990 354   170   167  156.3   85.1   71.2   1.52   0.94  203.0   31.4   39.7    0.9   0.94   0.89    0.00   12.46
 1990 355   171   168  157.0   88.5   68.5   1.51   0.91  203.9   30.2   38.2    0.9   0.91   0.90    0.00   12.70
 1990 356   172   169  157.6   91.8   65.8   1.49   0.89  204.7   29.5   36.3    0.9   0.89   0.90    0.00   12.93
 1990 357   173   170  158.0   95.0   63.1   1.47   0.85  205.3   28.3   34.8    0.8   0.85   0.91    0.00   13.17
 1990 358   174   171  158.5   97.5   61.0   1.46   0.82  205.8   27.4   33.6    0.8   0.82   0.92    0.00   13.40
 1990 359   175   172  158.9   99.7   59.3   1.45   0.79  206.4   26.2   33.1    0.8   0.79   0.91    0.00   13.64
 1990 360   176   173  159.8  102.6   57.2   1.43   0.76  207.6   25.3   31.9    0.8   0.76   0.91    0.00   13.87
