*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 12:58:53

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0007 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1990 252    68     2     2     0.0  128.6   16613  115.6   13.0   2.8  17.3  26.6  13.0   6.8   1.2   1.8   1.5   0.0   0.0   0.1   0.5   1.0   0.6   0.6  1.64  0.49  0.26  0.00  0.00   32.93   45.46    0.00    0.00    0.41
 1990 253    69     2     2     0.0  129.0   16613  115.9   13.0   3.1  17.0  26.5  13.2   6.8   1.2   1.8   1.6   0.0   0.0   0.1   0.6   1.0   0.6   0.6  1.64  0.49  0.26  0.00  0.00   33.43   45.90    0.00    0.00    0.41
 1990 254    70     2     2     0.0  128.8   16612  115.8   13.0   2.0  13.7  25.7  15.7   7.2   1.3   1.8   1.6   0.0   0.0   0.1   0.6   1.0   0.6   0.6  1.64  0.48  0.25  0.00  0.00   33.98   46.47    0.00    0.00    0.41
 1990 255    71     2     2     0.0  128.7   16611  115.4   13.3   2.0  13.4  24.9  15.5   8.0   1.3   1.8   1.6   0.0   0.0   0.2   0.7   1.1   0.6   0.6  1.64  0.48  0.25  0.00  0.00   34.55   46.73    0.00    0.00    0.42
 1990 256    72     2     2     0.0  128.5   16611  115.0   13.5   2.3  13.1  24.4  15.4   8.4   1.3   1.8   1.6   0.0   0.0   0.1   0.7   1.2   0.6   0.6  1.64  0.48  0.25  0.00  0.00   35.12   47.08    0.00    0.00    0.42
 1990 257    73     2     2     0.0  128.3   16610  114.7   13.6   2.7  12.8  24.0  15.3   8.5   1.3   1.8   1.6   0.0   0.0   0.1   0.7   1.2   0.7   0.6  1.64  0.47  0.24  0.00  0.00   35.67   47.53    0.00    0.00    0.43
 1990 258    74     2     2     0.0  128.3   16610  114.7   13.5   3.1  12.7  23.9  15.4   8.5   1.3   1.8   1.6   0.0   0.0   0.1   0.7   1.2   0.7   0.6  1.65  0.47  0.24  0.00  0.00   36.18   48.06    0.00    0.00    0.43
 1990 259    75     2     2     0.0  127.7   16609  114.2   13.5   3.4  12.5  23.5  15.3   8.5   1.4   1.9   1.6   0.0   0.0   0.1   0.6   1.2   0.7   0.6  1.65  0.47  0.24  0.00  0.00   36.65   48.55    0.01    0.00    0.43
 1990 260    76     2     2     0.0  127.7   16609  114.3   13.5   3.8  12.4  23.4  15.3   8.6   1.4   1.9   1.6   0.0   0.0   0.1   0.6   1.2   0.7   0.6  1.65  0.46  0.23  0.00  0.00   37.11   49.02    0.01    0.00    0.43
 1990 261    77     2     2     0.0  127.4   16608  114.0   13.4   2.0   9.5  21.9  16.5  10.0   1.7   1.9   1.6   0.0   0.0   0.1   0.6   1.2   0.7   0.6  1.65  0.46  0.23  0.00  0.00   37.58   49.55    0.01    0.00    0.44
 1990 262    78     2     2     0.2  127.0   16608  113.3   13.7   2.0   9.2  21.1  16.1  10.1   2.0   1.9   1.7   0.0   0.0   0.2   0.7   1.2   0.7   0.6  1.65  0.46  0.23  0.00  0.00   38.08   49.74    0.01    0.00    0.44
 1990 263    79     2     2     0.4  126.1   16607  112.1   13.9   2.1   8.9  20.4  15.7  10.1   2.2   1.9   1.7   0.0   0.0   0.1   0.7   1.3   0.7   0.6  1.65  0.46  0.22  0.00  0.00   38.61   49.99    0.01    0.00    0.44
 1990 264    80     2     2     0.5  126.5   16607  112.4   14.1   2.4   9.0  20.4  15.6  10.1   2.3   2.0   1.7   0.0   0.0   0.1   0.7   1.4   0.8   0.6  1.66  0.47  0.22  0.00  0.00   39.13   50.29    0.01    0.00    0.45
 1990 265    81     2     2     0.5  126.7   16606  112.5   14.2   2.6   9.0  20.4  15.5  10.1   2.4   2.0   1.7   0.0   0.0   0.1   0.6   1.3   0.8   0.6  1.68  0.47  0.23  0.00  0.00   39.65   50.73    0.01    0.00    0.45
 1990 266    82     2     2     0.5  124.7   16606  110.5   14.2   2.8   8.6  19.5  15.3  10.1   2.4   2.0   1.7   0.0   0.0   0.1   0.6   1.3   0.8   0.7  1.69  0.48  0.23  0.00  0.00   40.18   51.16    0.03    0.00    0.45
 1990 267    83     2     2     0.5  124.4   16605  110.1   14.3   3.0   8.6  19.3  15.2  10.1   2.4   2.0   1.7   0.0   0.0   0.1   0.6   1.3   0.8   0.7  1.70  0.49  0.23  0.00  0.00   40.69   51.57    0.04    0.00    0.46
 1990 268    84     2     2     0.5  124.4   16605  110.0   14.3   3.3   8.6  19.2  15.2  10.1   2.4   2.0   1.7   0.0   0.0   0.1   0.6   1.2   0.8   0.7  1.72  0.49  0.23  0.00  0.00   41.18   52.02    0.05    0.00    0.46
 1990 269    85     2     2     0.5  124.1   16604  109.8   14.3   3.5   8.5  18.9  15.2  10.1   2.4   2.0   1.7   0.0   0.0   0.1   0.6   1.2   0.8   0.7  1.73  0.50  0.23  0.00  0.00   41.67   52.46    0.05    0.00    0.46
 1990 270    86     2     2     0.5  123.7   16604  109.3   14.4   3.6   8.5  18.7  15.1  10.1   2.4   2.0   1.7   0.0   0.0   0.1   0.6   1.2   0.8   0.7  1.74  0.50  0.23  0.00  0.00   42.16   52.89    0.06    0.00    0.46
 1990 271    87     2     2     0.5  122.4   16603  108.0   14.4   3.7   8.3  18.1  15.0  10.1   2.4   2.0   1.7   0.0   0.0   0.1   0.5   1.2   0.8   0.8  1.76  0.51  0.23  0.00  0.00   42.66   53.34    0.06    0.00    0.47
 1990 272    88     2     2     0.5  122.0   16603  107.6   14.4   3.9   8.3  17.9  14.9  10.1   2.4   2.0   1.7   0.0   0.0   0.1   0.5   1.2   0.7   0.8  1.77  0.51  0.23  0.00  0.00   43.20   53.80    0.07    0.00    0.47
 1990 273    89     2     2     0.5  120.1   16602  105.7   14.4   3.9   8.0  17.1  14.7  10.1   2.4   2.0   1.7   0.0   0.0   0.1   0.5   1.1   0.7   0.8  1.78  0.52  0.24  0.00  0.00   43.76   54.30    0.07    0.00    0.47
 1990 274    90     2     2     0.5  118.5   16602  104.0   14.4   3.9   7.8  16.5  14.5  10.1   2.4   2.0   1.7   0.0   0.0   0.1   0.5   1.1   0.7   0.8  1.80  0.53  0.24  0.00  0.00   44.36   54.82    0.07    0.00    0.47
 1990 275    91     2     2     0.5  116.0   16601  101.7   14.3   3.9   7.5  15.6  14.2  10.1   2.5   2.0   1.7   0.0   0.0   0.1   0.5   1.1   0.7   0.8  1.80  0.53  0.24  0.00  0.00   44.99   55.50    0.07    0.00    0.48
 1990 276    92     2     2     0.5  113.1   16600   99.0   14.2   3.8   7.2  14.6  13.9  10.0   2.5   2.0   1.7   0.0   0.0   0.1   0.5   1.0   0.7   0.8  1.80  0.54  0.24  0.00  0.00   45.61   56.17    0.07    0.00    0.48
 1990 277    93     2     2     0.5  110.2   16600   96.2   14.0   3.7   6.8  13.7  13.5   9.8   2.5   2.0   1.7   0.0   0.0   0.1   0.4   1.0   0.7   0.7  1.80  0.54  0.24  0.00  0.00   46.25   56.86    0.07    0.00    0.48
 1990 278    94     2     2     0.5  106.7   16599   92.8   13.9   3.6   6.4  12.7  13.1   9.6   2.5   2.0   1.7   0.0   0.0   0.1   0.4   1.0   0.7   0.7  1.80  0.55  0.24  0.00  0.00   46.91   57.57    0.07    0.00    0.48
 1990 279    95     2     2     0.5  105.4   16599   91.6   13.8   2.0   6.6  12.5  12.9   9.5   2.6   2.0   1.7   0.0   0.0   0.1   0.4   0.9   0.6   0.7  1.80  0.55  0.24  0.00  0.00   47.54   58.24    0.07    0.00    0.49
 1990 280    96     2     2     0.5  102.8   16598   88.8   13.9   1.7   6.0  12.0  12.6   9.3   2.6   2.0   1.7   0.0   0.0   0.2   0.5   0.9   0.6   0.7  1.79  0.56  0.25  0.00  0.00   48.22   58.72    0.07    0.00    0.49
