*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 18:48:23

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0359 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 1999 339   107    4.5   14.0   15.0   13.4   26.8   0.59   22.0   10.9   16.5   18.6   10.9   16.5   18.6   86.4    330
 1999 340   108    0.0   14.0   15.1   32.3   64.6   0.01   21.8    7.9   15.0   17.5    7.9   15.0   17.5   86.4    330
 1999 341   109    0.0   14.0   15.1   24.3   48.6   0.26   22.6    8.0   15.4   17.5    8.0   15.4   17.5   86.4    330
 1999 342   110    0.0   14.0   15.1   31.1   62.2   0.05   26.8   10.5   18.8   21.1   10.5   18.8   21.1   86.4    330
 1999 343   111    0.0   14.0   15.1   31.9   63.8   0.03   29.0   12.1   20.7   23.1   12.1   20.7   23.1   86.4    330
 1999 344   112    0.0   14.0   15.1   32.1   64.2   0.02   29.7   14.1   22.0   24.3   14.1   22.0   24.3   86.4    330
 1999 345   113    0.0   14.0   15.1   25.3   50.6   0.23   30.4   15.2   22.9   25.1   15.2   22.9   25.1   86.4    330
 1999 346   114   16.0   14.0   15.1   14.0   28.0   0.57   26.8   17.2   22.1   23.5   17.2   22.1   23.5   86.4    330
 1999 347   115    3.0   14.0   15.1   16.1   32.2   0.51   26.0   15.8   21.0   22.5   15.8   21.0   22.5   86.4    330
 1999 348   116    0.0   14.1   15.1   31.4   62.8   0.05   27.9   14.5   21.3   23.3   14.5   21.3   23.3   86.4    330
 1999 349   117    0.0   14.1   15.1   31.4   62.8   0.05   30.6   16.2   23.5   25.6   16.2   23.5   25.6   86.4    330
 1999 350   118    0.0   14.1   15.1   32.5   65.0   0.01   31.7   14.3   23.2   25.7   14.3   23.2   25.7   86.4    330
 1999 351   119    0.0   14.1   15.1   31.5   63.0   0.04   31.4   16.4   24.0   26.2   16.4   24.0   26.2   86.4    330
 1999 352   120    0.0   14.1   15.2   26.6   53.2   0.19   34.3   17.4   26.0   28.5   17.4   26.0   28.5   86.4    330
 1999 353   121    0.0   14.1   15.2   29.7   59.4   0.10   29.3   19.2   24.3   25.8   19.2   24.3   25.8   86.4    330
 1999 354   122    0.0   14.1   15.2   31.4   62.8   0.05   30.6   12.2   21.6   24.2   12.2   21.6   24.2   86.4    330
 1999 355   123    0.0   14.1   15.2   22.2   44.4   0.33   31.5   15.6   23.7   26.0   15.6   23.7   26.0   86.4    330
