*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 2000 358   120  12.60  20.30  15.30  2.632  2.632  1.862  0.771  0.000  393.8  162.1  231.7    0.0
 2000 359   121  28.50  26.30  11.10  6.197  6.197  3.605  2.592  0.000  400.0  165.7  234.3    0.0
 2000 360   122  28.00  31.40  19.00  6.861  6.663  5.081  1.582  0.000  406.7  170.8  235.9    0.0
 2000 361   123  30.90  35.10  20.70  8.006  8.006  4.621  3.385  0.000  414.7  175.4  239.3    0.0
 2000 362   124   9.10  28.20  17.20  2.125  2.125  1.221  0.904  0.000  416.8  176.6  240.2    0.0
 2000 363   125  16.00  26.00  16.10  3.614  3.614  2.067  1.546  0.000  420.4  178.7  241.7    0.0
 2000 364   126  15.80  23.90  16.00  3.479  3.479  1.982  1.497  0.000  423.9  180.7  243.2    0.0
 2000 365   127  29.60  26.20  14.50  6.622  6.622  3.756  2.866  0.000  430.5  184.4  246.1    0.0
 2000 366   128  30.60  29.40  15.90  7.185  7.185  4.654  2.531  0.000  437.7  189.1  248.6    0.0
 2001 001   129  31.30  29.90  16.50  7.427  7.427  4.709  2.718  0.000  445.1  193.8  251.3    0.0
 2001 002   130  30.60  30.00  16.20  7.256  6.632  5.214  1.417  0.000  451.7  199.0  252.7    0.0
 2001 003   131  30.40  32.50  15.80  7.393  6.388  5.290  1.098  0.000  458.1  204.3  253.8    0.0
 2001 004   132  19.70  33.10  21.90  5.038  5.038  2.791  2.246  0.000  463.2  207.1  256.1    0.0
 2001 005   133  30.40  32.20  20.60  7.635  7.635  4.207  3.427  0.000  470.8  211.3  259.5    0.0
 2001 006   134  29.10  33.80  20.90  7.452  7.452  4.084  3.367  0.000  478.3  215.4  262.9    0.0
 2001 007   135  11.60  28.40  21.30  2.813  2.813  1.533  1.280  0.000  481.1  216.9  264.2    0.0
 2001 008   136  20.20  28.40  17.80  4.775  4.775  2.589  2.187  0.000  485.8  219.5  266.3    0.0
 2001 009   137  26.00  29.90  17.40  6.235  6.235  3.361  2.875  0.000  492.1  222.9  269.2    0.0
 2001 010   138   9.00  22.70  16.10  1.966  1.966  1.053  0.912  0.000  494.1  223.9  270.1    0.0
