*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2001 014   142   139   207.4    72.9    76.9    6.35    2.17    140.9   158.1    46.9    30.0    3.88    1.29     3.0    1.1    2.4   41.62    5.89
 2001 015   143   140   210.3    79.5    74.6    6.35    2.13    145.0   158.8    45.5    29.1    3.83    1.26     2.9    1.1    4.1   42.81    5.98
 2001 016   144   141   213.4    86.4    72.4    6.36    2.10    148.7   159.3    44.2    28.2    3.77    1.24     2.9    1.1    3.7   43.48    6.08
 2001 017   145   142   214.8    93.2    70.2    6.37    2.06    150.4   160.5    42.8    27.4    3.71    1.21     2.8    1.1    1.6   44.94    6.17
 2001 018   146   143   216.1    99.3    68.0    6.38    2.01    152.2   160.7    41.5    26.5    3.65    1.18     2.7    1.1    1.8   45.83    6.25
 2001 019   147   144   218.0   105.9    65.8    6.38    1.97    153.7   161.8    40.2    25.6    3.59    1.15     2.6    1.1    1.6   46.70    6.33
 2001 020   148   145   222.3   113.8    63.8    6.37    1.93    158.5   162.6    39.0    24.8    3.53    1.13     2.5    1.1    4.8   47.40    6.40
 2001 021   149   146   226.9   121.6    61.8    6.35    1.89    163.3   163.2    37.8    24.0    3.47    1.10     2.5    1.0    4.8   47.92    6.46
 2001 022   150   147   229.0   127.6    59.9    6.35    1.85    165.1   163.9    36.6    23.3    3.41    1.08     2.4    1.0    1.8   48.30    6.53
 2001 023   151   148   233.7   136.1    57.8    6.37    1.81    168.0   165.8    35.4    22.5    3.35    1.05     2.3    1.0    3.0   48.63    6.61
 2001 024   152   149   238.1   144.4    55.9    6.39    1.77    172.0   166.5    34.2    21.7    3.28    1.02     2.2    1.0    4.0   48.97    6.69
 2001 025   153   150   242.2   152.2    53.9    6.41    1.72    175.8   167.1    33.0    20.9    3.21    1.00     2.2    1.0    3.8   49.31    6.78
 2001 026   154   151   245.5   159.0    52.0    6.43    1.68    178.5   167.9    31.8    20.2    3.14    0.97     2.1    1.0    2.7   49.54    6.86
 2001 027   155   152   246.3   163.2    50.3    6.43    1.64    178.9   168.4    30.8    19.5    3.08    0.94     2.0    1.0    0.5   49.76    6.94
 2001 028   156   153   247.1   166.7    48.7    6.43    1.60    179.2   169.0    29.8    18.9    3.02    0.92     1.9    1.0    0.2   49.94    7.11
 2001 029   157   154   251.6   173.9    47.2    6.43    1.57    181.6   171.1    28.9    18.4    2.97    0.90     1.9    1.0    2.5   50.06    7.16
 2001 030   158   155   251.9   176.9    45.8    6.32    1.51    181.6   171.5    28.0    17.8    2.89    0.86     1.8    1.0    0.0   50.15    7.23
 2001 031   159   156   246.0   180.4    37.6    6.22    1.39    181.6   172.1    21.4    16.2    2.79    0.83     1.7    1.0    0.0   56.71    7.30
