*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 2000 281    43     0     0     4.5  113.4   16623   92.3   21.1   1.7   3.7   9.7   9.9   9.9   5.3   3.1   1.9   0.0   0.0   0.1   0.8   2.1   1.2   1.3  1.92  1.05  0.73  0.00  0.00   23.45   26.13    3.27    0.00    0.00
 2000 282    44     0     0     4.6  113.7   16622   92.8   21.0   1.8   3.8   9.8   9.8   9.9   5.3   3.2   1.9   0.0   0.0   0.1   0.7   2.0   1.2   1.3  1.93  1.05  0.72  0.00  0.00   24.00   26.77    3.30    0.00    0.00
 2000 283    45     0     0     4.6  114.1   16621   93.2   20.9   1.3   3.6   9.8  10.1  10.0   5.3   3.2   1.9   0.0   0.0   0.1   0.7   1.9   1.2   1.3  1.94  1.05  0.72  0.00  0.00   24.57   27.41    3.32    0.00    0.00
 2000 284    46     0     0     5.0  114.1   16621   92.9   21.2   1.3   3.5   9.6   9.8   9.9   5.4   3.3   2.0   0.0   0.0   0.2   0.7   2.0   1.3   1.3  1.95  1.05  0.71  0.00  0.00   25.13   27.61    3.41    0.00    0.00
 2000 285    47     0     0     5.1  114.3   16620   92.9   21.4   1.5   3.5   9.5   9.6   9.8   5.5   3.4   2.1   0.0   0.0   0.1   0.8   2.0   1.3   1.3  1.96  1.05  0.71  0.00  0.00   25.69   27.93    3.47    0.00    0.00
 2000 286    48     0     0     5.2  114.6   16620   93.1   21.5   1.7   3.6   9.4   9.5   9.8   5.5   3.4   2.1   0.0   0.0   0.1   0.7   2.1   1.3   1.3  1.98  1.05  0.70  0.00  0.00   26.26   28.39    3.50    0.00    0.00
 2000 287    49     0     0     5.2  115.0   16619   93.6   21.3   1.9   3.7   9.6   9.5   9.8   5.5   3.4   2.1   0.0   0.0   0.1   0.7   2.0   1.3   1.3  1.99  1.05  0.70  0.00  0.00   26.86   29.10    3.53    0.00    0.00
 2000 288    50     0     0     5.2  115.3   16619   94.1   21.2   2.1   3.8   9.7   9.5   9.8   5.5   3.4   2.1   0.0   0.0   0.1   0.6   1.9   1.3   1.3  2.00  1.05  0.69  0.00  0.00   27.46   29.79    3.54    0.00    0.00
 2000 289    51     0     0     5.2  115.8   16618   94.7   21.1   2.3   3.9   9.8   9.6   9.8   5.5   3.4   2.1   0.0   0.0   0.1   0.6   1.8   1.3   1.3  2.01  1.05  0.69  0.00  0.00   28.07   30.46    3.56    0.00    0.00
 2000 290    52     0     0     5.2  116.3   16617   95.4   20.9   2.1   4.2  10.0   9.6   9.8   5.5   3.4   2.1   0.0   0.0   0.1   0.6   1.7   1.3   1.4  2.02  1.05  0.69  0.00  0.00   28.68   31.24    3.57    0.00    0.00
 2000 291    53     0     0     5.2  116.7   16617   95.8   20.9   2.2   4.2  10.1   9.7   9.9   5.5   3.5   2.1   0.0   0.0   0.1   0.7   1.7   1.2   1.4  2.03  1.05  0.68  0.00  0.00   29.29   31.88    3.58    0.00    0.00
 2000 292    54     0     0     5.2  117.1   16616   96.4   20.7   2.4   4.3  10.2   9.8   9.9   5.5   3.5   2.1   0.0   0.0   0.1   0.6   1.6   1.2   1.4  2.04  1.05  0.68  0.00  0.00   29.88   32.61    3.59    0.00    0.00
 2000 293    55     0     0     5.2  117.5   16616   97.0   20.5   1.8   4.3  10.4  10.0   9.9   5.6   3.5   2.1   0.0   0.0   0.1   0.6   1.6   1.1   1.4  2.05  1.05  0.67  0.00  0.00   30.48   33.32    3.60    0.00    0.00
 2000 294    56     0     0     5.4  117.7   16615   96.9   20.8   1.9   4.2  10.2   9.8   9.9   5.6   3.5   2.2   0.0   0.0   0.1   0.7   1.6   1.1   1.4  2.06  1.05  0.67  0.00  0.00   31.07   33.59    3.62    0.00    0.00
 2000 295    57     0     0     5.5  118.0   16614   96.9   21.1   2.1   4.2  10.1   9.8   9.9   5.6   3.6   2.2   0.0   0.0   0.1   0.8   1.7   1.1   1.4  2.07  1.05  0.66  0.00  0.00   31.70   33.91    3.64    0.00    0.00
 2000 296    58     0     0     5.6  118.1   16614   96.9   21.2   1.1   3.3   8.6   9.3  10.2   6.4   4.0   2.4   0.0   0.0   0.1   0.7   1.8   1.2   1.4  2.08  1.05  0.66  0.00  0.00   32.34   34.41    3.66    0.00    0.00
 2000 297    59     0     0     5.8  118.1   16613   96.5   21.6   1.1   3.2   8.5   9.1  10.0   6.4   4.2   2.5   0.0   0.0   0.2   0.8   1.8   1.2   1.4  2.10  1.05  0.66  0.00  0.00   32.97   34.59    3.86    0.00    0.00
 2000 298    60     0     0     6.7  117.2   16612   95.4   21.8   1.3   3.2   8.3   8.8   9.7   6.3   4.2   2.6   0.0   0.0   0.1   0.9   1.9   1.2   1.4  2.11  1.06  0.65  0.00  0.00   33.59   34.89    4.21    0.00    0.00
 2000 299    61     0     0     9.3  114.8   16612   92.9   21.9   0.6   2.2   6.4   7.5   9.0   6.9   5.0   3.3   0.0   0.0   0.1   0.8   2.0   1.2   1.4  2.12  1.06  0.65  0.00  0.00   34.21   35.36    4.41    0.00    0.00
 2000 300    62     0     0    10.7  113.1   16611   90.9   22.2   0.5   1.9   5.7   6.9   8.6   7.0   5.2   3.6   0.0   0.0   0.1   0.8   2.0   1.2   1.4  2.13  1.06  0.65  0.00  0.00   34.81   35.58    4.79    0.00    0.00
 2000 301    63     0     0    12.4  111.1   16611   88.7   22.4   0.6   1.8   5.4   6.6   8.2   6.8   5.2   3.7   0.0   0.0   0.1   0.9   2.1   1.3   1.5  2.14  1.06  0.65  0.00  0.00   35.38   35.79    5.16    0.00    0.00
 2000 302    64     0     0    13.4  109.6   16610   87.1   22.5   0.7   1.7   5.3   6.4   8.0   6.7   5.2   3.7   0.0   0.0   0.1   0.9   2.1   1.3   1.5  2.14  1.06  0.65  0.00  0.00   35.99   36.09    5.37    0.00    0.00
 2000 303    65     0     0    13.9  108.7   16609   86.4   22.4   0.9   1.9   5.2   6.4   7.9   6.6   5.2   3.7   0.0   0.0   0.1   0.8   2.1   1.3   1.5  2.14  1.06  0.64  0.00  0.00   36.62   36.61    5.47    0.00    0.00
 2000 304    66     0     0    14.1  108.2   16609   86.2   22.0   1.1   2.0   5.2   6.3   7.8   6.5   5.2   3.7   0.0   0.0   0.1   0.7   1.9   1.3   1.5  2.14  1.06  0.64  0.00  0.00   37.24   37.35    5.52    0.00    0.00
 2000 305    67     0     0    14.2  107.5   16608   85.9   21.6   1.2   2.1   5.2   6.2   7.7   6.5   5.1   3.7   0.0   0.0   0.1   0.6   1.8   1.3   1.4  2.14  1.05  0.63  0.00  0.00   37.87   38.10    5.55    0.00    0.00
 2000 306    68     0     0    14.2  106.7   16608   85.6   21.1   1.0   2.2   5.3   6.2   7.7   6.4   5.1   3.7   0.0   0.0   0.1   0.6   1.7   1.2   1.4  2.13  1.04  0.63  0.00  0.00   38.53   38.94    5.56    0.00    0.00
 2000 307    69     0     0    14.3  106.5   16607   85.6   21.0   1.0   2.2   5.3   6.3   7.6   6.4   5.1   3.7   0.0   0.0   0.2   0.7   1.6   1.1   1.4  2.13  1.04  0.62  0.00  0.00   39.18   39.53    5.57    0.00    0.00
 2000 308    70     0     0    14.3  105.7   16606   85.2   20.6   1.3   2.2   5.3   6.3   7.6   6.4   5.1   3.7   0.0   0.0   0.1   0.7   1.4   1.1   1.4  2.12  1.03  0.62  0.00  0.00   39.84   40.24    5.58    0.00    0.00
 2000 309    71     0     0    14.3  104.7   16606   84.7   19.9   1.4   2.2   5.2   6.2   7.6   6.3   5.0   3.7   0.0   0.0   0.1   0.6   1.3   1.0   1.3  2.11  1.02  0.61  0.00  0.00   40.52   41.18    5.58    0.00    0.00
 2000 310    72     0     0    14.3  103.9   16605   84.5   19.4   1.6   2.3   5.1   6.2   7.5   6.3   5.0   3.7   0.0   0.0   0.1   0.6   1.3   1.0   1.3  2.09  1.02  0.61  0.00  0.00   41.17   42.02    5.59    0.00    0.00
 2000 311    73     0     0    14.3  102.4   16604   83.7   18.7   1.7   2.3   5.0   6.2   7.5   6.2   5.0   3.7   0.0   0.0   0.1   0.5   1.2   0.9   1.2  2.05  0.98  0.60  0.00  0.00   41.81   42.91    5.59    0.00    0.00
 2000 312    74     0     0    14.3  100.7   16604   82.7   18.0   1.9   2.3   4.8   6.1   7.4   6.1   5.0   3.7   0.0   0.0   0.1   0.5   1.1   0.9   1.1  2.01  0.95  0.59  0.00  0.00   42.46   43.77    5.59    0.00    0.00
 2000 313    75     0     0    14.3   99.8   16603   82.2   17.6   2.0   2.4   4.7   6.0   7.4   6.1   4.9   3.7   0.0   0.0   0.1   0.5   1.0   0.8   1.1  1.98  0.92  0.58  0.00  0.00   43.12   44.58    5.59    0.00    0.00
 2000 314    76     0     0    14.3   98.3   16602   81.3   17.0   2.1   2.4   4.6   6.0   7.3   6.0   4.9   3.6   0.0   0.0   0.1   0.5   1.0   0.8   1.0  1.94  0.89  0.58  0.00  0.00   43.78   45.38    5.59    0.00    0.00
 2000 315    77     0     0    14.3   97.6   16602   81.0   16.6   2.2   2.4   4.5   5.9   7.2   5.9   4.9   3.6   0.0   0.0   0.1   0.5   1.0   0.8   1.0  1.91  0.86  0.57  0.00  0.00   44.43   46.15    5.59    0.00    0.00
 2000 316    78     0     0    14.3   95.2   16601   79.3   16.0   1.3   2.5   4.5   5.8   7.1   5.8   4.8   3.6   0.0   0.0   0.1   0.5   0.9   0.7   0.9  1.85  0.83  0.55  0.00  0.00   45.07   46.92    5.59    0.00    0.00
 2000 317    79     0     0    14.3   92.5   16600   77.0   15.5   1.3   2.4   4.0   5.7   6.9   5.7   4.7   3.6   0.0   0.0   0.1   0.6   0.9   0.7   0.9  1.79  0.80  0.53  0.00  0.00   45.72   47.43    5.59    0.00    0.00
 2000 318    80     0     0    14.3   89.6   16600   74.9   14.7   1.4   2.2   3.6   5.5   6.8   5.5   4.7   3.6   0.0   0.0   0.1   0.5   0.8   0.6   0.8  1.74  0.76  0.51  0.00  0.00   46.39   48.21    5.59    0.00    0.00
 2000 319    81     0     0    14.3   87.1   16599   73.0   14.2   1.5   2.1   3.3   5.4   6.6   5.4   4.6   3.5   0.0   0.0   0.1   0.5   0.7   0.6   0.8  1.69  0.73  0.50  0.00  0.00   47.05   48.90    5.59    0.00    0.00
 2000 320    82     0     0    14.3   85.3   16598   71.5   13.7   1.7   2.0   3.1   5.2   6.5   5.3   4.6   3.5   0.0   0.0   0.1   0.5   0.7   0.6   0.7  1.65  0.71  0.48  0.00  0.00   47.68   49.54    5.59    0.00    0.00
 2000 321    83     0     0    14.3   83.5   16598   70.2   13.4   1.7   2.0   2.9   5.1   6.4   5.2   4.5   3.5   0.0   0.0   0.1   0.5   0.7   0.5   0.7  1.61  0.68  0.47  0.00  0.00   48.28   50.14    5.59    0.00    0.00
 2000 322    84     0     0    14.3   80.3   16597   67.6   12.7   1.8   1.9   2.5   4.9   6.1   5.1   4.4   3.5   0.0   0.0   0.1   0.5   0.6   0.5   0.6  1.54  0.65  0.46  0.00  0.00   48.85   50.70    5.59    0.00    0.00
