*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   SNW0C   SNW1C
 2000 281    43    40    2.4      0   0.04     16      6      0     21     22      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  218.8   0.10   0.10    1.1   1.25   0.11   0.11   0.10   0.03   0.03   0.02   0.01   0.01   0.00   0.00       0       1
 2000 282    44    41    2.5      0   0.04     18      7      0     23     25      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  216.7   0.11   0.10    1.2   1.25   0.12   0.12   0.11   0.04   0.03   0.03   0.02   0.01   0.00   0.00       0       2
 2000 283    45    42    2.7      0   0.04     19      7      0     23     26      0     0.0  0.000      0      0  0.000  0.000  0.000  0.022    5.72   0.00   0.00      0      0  220.8   0.11   0.11    1.2   1.25   0.13   0.12   0.11   0.04   0.03   0.03   0.02   0.01   0.00   0.00       0       2
 2000 284    46    43    2.8      0   0.04     20      8      0     25     28      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  214.8   0.11   0.11    1.3   1.25   0.13   0.13   0.12   0.04   0.04   0.03   0.02   0.01   0.00   0.00       0       2
 2000 285    47    44    2.9      0   0.05     22      9      0     28     31      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  211.6   0.12   0.11    1.4   1.25   0.14   0.14   0.13   0.05   0.04   0.03   0.02   0.01   0.00   0.00       0       2
 2000 286    48    45    3.1      0   0.05     24     11      0     31     35      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  219.3   0.12   0.12    1.5   1.25   0.16   0.15   0.14   0.05   0.05   0.04   0.02   0.01   0.00   0.00       0       2
 2000 287    49    46    3.2      0   0.06     26     13      0     33     39      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  218.7   0.13   0.13    1.6   1.25   0.17   0.16   0.16   0.06   0.05   0.04   0.03   0.01   0.00   0.00       0       2
 2000 288    50    47    3.4      0   0.06     27     13      0     34     41      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  226.8   0.14   0.13    1.6   1.25   0.17   0.17   0.16   0.06   0.05   0.04   0.03   0.01   0.00   0.00       0       2
 2000 289    51    48    3.5      0   0.07     29     14      0     35     43      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  232.4   0.14   0.14    1.7   1.25   0.18   0.17   0.16   0.06   0.05   0.04   0.03   0.01   0.00   0.00       0       3
 2000 290    52    49    3.7      0   0.07     30     16      0     38     46      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  240.9   0.15   0.14    1.8   1.25   0.19   0.18   0.18   0.07   0.06   0.05   0.03   0.01   0.00   0.00       0       3
 2000 291    53    50    3.9      0   0.08     32     18      0     40     50      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  249.7   0.15   0.15    1.9   1.25   0.20   0.20   0.19   0.07   0.06   0.05   0.03   0.02   0.00   0.00       0       3
 2000 292    54    51    4.1      0   0.09     34     19      0     42     53      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  261.9   0.16   0.15    2.0   1.25   0.21   0.20   0.19   0.08   0.07   0.05   0.04   0.02   0.00   0.00       0       3
 2000 293    55    52    4.3      0   0.10     36     22      0     45     58      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  267.0   0.17   0.15    2.1   1.25   0.22   0.22   0.21   0.08   0.07   0.06   0.04   0.02   0.00   0.00       0       3
 2000 294    56    53    4.5      0   0.11     38     24      0     47     62      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  280.1   0.18   0.15    2.2   1.25   0.23   0.23   0.22   0.09   0.08   0.06   0.04   0.02   0.00   0.00       0       4
 2000 295    57    54    4.7      0   0.12     41     29      0     53     70      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  282.5   0.19   0.15    2.5   1.25   0.25   0.25   0.24   0.10   0.08   0.07   0.05   0.02   0.00   0.00       0       4
 2000 296    58    55    4.9      0   0.12     43     31      0     55     74      0     0.0  0.000      0      0  0.000  0.000  0.000  0.010    5.73   0.00   0.00      0      0  288.7   0.20   0.15    2.6   1.25   0.26   0.26   0.25   0.10   0.09   0.07   0.05   0.02   0.00   0.00       0       4
 2000 297    59    56    5.0      0   0.13     45     34      0     58     79      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  292.2   0.21   0.15    2.7   1.25   0.27   0.27   0.26   0.10   0.09   0.07   0.05   0.03   0.00   0.00       0       5
 2000 298    60    57    5.2      0   0.15     48     36      0     60     84      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  301.7   0.21   0.15    2.8   1.25   0.28   0.28   0.27   0.11   0.10   0.08   0.05   0.03   0.00   0.00       0       5
 2000 299    61    58    5.4      0   0.17     53     40      0     63     93      0     0.0  0.000      0      0  0.000  0.000  0.000  0.017    5.73   0.00   0.00      0      0  309.1   0.22   0.15    3.0   1.25   0.30   0.29   0.28   0.11   0.10   0.08   0.06   0.03   0.00   0.00       0       5
 2000 300    62    59    5.6      0   0.19     59     45      0     67    104      0     0.0  0.000      0      0  0.000  0.000  0.000  0.042    5.73   0.00   0.00      0      0  323.6   0.23   0.15    3.1   1.25   0.32   0.31   0.30   0.12   0.11   0.09   0.06   0.03   0.00   0.00       0       6
 2000 301    63    60    5.7      0   0.22     70     53      0     74    123      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  308.7   0.24   0.15    3.5   1.25   0.35   0.34   0.33   0.14   0.12   0.10   0.07   0.03   0.00   0.00       0       6
 2000 302    64    61    5.9      0   0.23     80     60      0     81    140      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  290.8   0.25   0.15    3.8   1.25   0.38   0.37   0.36   0.15   0.13   0.11   0.08   0.04   0.00   0.00       0       7
 2000 303    65    62    5.9      0   0.24     88     67      0     87    156      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  274.4   0.25   0.15    4.0   1.25   0.40   0.40   0.38   0.16   0.14   0.11   0.08   0.04   0.00   0.00       0       7
 2000 304    66    63    6.1      0   0.27    103     79      0     97    182      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  265.1   0.25   0.15    4.5   1.25   0.45   0.44   0.43   0.18   0.16   0.13   0.09   0.05   0.00   0.00       0       7
 2000 305    67    64    6.3      0   0.31    119     93      0    109    211      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  261.2   0.26   0.15    5.0   1.25   0.49   0.49   0.48   0.20   0.18   0.14   0.10   0.05   0.00   0.00       0       8
 2000 306    68    65    6.5      0   0.35    126     99      0    114    226      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  274.4   0.27   0.15    5.3   1.25   0.52   0.51   0.50   0.21   0.19   0.15   0.11   0.05   0.00   0.00       0       9
 2000 307    69    66    6.7      0   0.39    141    112      0    124    254      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  273.3   0.28   0.15    5.8   1.25   0.56   0.56   0.54   0.23   0.20   0.17   0.12   0.06   0.00   0.00       0       9
 2000 308    70    67    6.8      0   0.42    160    129      0    137    289      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  263.0   0.29   0.15    6.4   1.25   0.62   0.62   0.60   0.25   0.23   0.18   0.13   0.07   0.00   0.00       0      10
 2000 309    71    68    7.0      0   0.46    175    144      0    148    319      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  260.2   0.29   0.15    7.0   1.25   0.67   0.66   0.65   0.27   0.25   0.20   0.14   0.07   0.00   0.00       0      10
 2000 310    72    69    7.1      1   0.50    198    165      0    164    362      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  253.3   0.30   0.15    7.7   1.25   0.74   0.73   0.72   0.30   0.27   0.22   0.16   0.08   0.00   0.00       0      11
 2000 311    73    70    7.3      1   0.56    222    189      0    182    411      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  252.0   0.31   0.15    8.5   1.25   0.81   0.81   0.79   0.34   0.30   0.24   0.18   0.09   0.00   0.00       0      12
 2000 312    74    71    7.5      1   0.62    239    205      0    193    443      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.71   0.00   0.00      0      0  260.1   0.32   0.15    9.1   1.25   0.86   0.85   0.84   0.36   0.32   0.26   0.19   0.10   0.00   0.00       0      13
 2000 313    75    72    7.7      1   0.70    261    228      0    208    489      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.71   0.00   0.00      0      0  267.0   0.33   0.15    9.9   1.25   0.92   0.92   0.91   0.39   0.35   0.28   0.20   0.10   0.00   0.00       0      14
 2000 314    76    73    7.9      1   0.75    275    242      0    217    517      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.71   0.00   0.00      0      0  273.0   0.34   0.15   10.3   1.25   0.96   0.96   0.95   0.40   0.36   0.29   0.21   0.11   0.00   0.00       0      15
