*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2000 340   102    0.0   14.0   15.1   28.9   57.8   0.12   23.1   11.9   17.6   19.7   11.9   17.6   19.7   86.4    330
 2000 341   103    0.0   14.0   15.1   27.7   55.4   0.15   30.3   11.5   21.0   23.8   11.5   21.0   23.8   86.4    330
 2000 342   104    0.0   14.0   15.1   26.0   52.0   0.21   31.2   16.2   23.8   26.0   16.2   23.8   26.0   86.4    330
 2000 343   105    0.0   14.0   15.1   19.8   39.6   0.40   32.3   17.9   25.2   27.3   17.9   25.2   27.3   86.4    330
 2000 344   106    0.0   14.0   15.1   31.4   62.8   0.04   31.8   19.5   25.7   27.5   19.5   25.7   27.5   86.4    330
 2000 345   107    0.0   14.0   15.1   24.6   49.2   0.25   29.3   16.5   23.0   24.9   16.5   23.0   24.9   86.4    330
 2000 346   108    0.0   14.0   15.1   17.6   35.2   0.46   29.9   19.1   24.6   26.2   19.1   24.6   26.2   86.4    330
 2000 347   109    0.0   14.0   15.1   23.4   46.8   0.29   32.5   16.0   24.4   26.8   16.0   24.4   26.8   86.4    330
 2000 348   110   59.5   14.1   15.1   28.5   57.0   0.13   33.6   20.5   27.2   29.1   20.5   27.2   29.1   86.4    330
 2000 349   111    0.0   14.1   15.1   22.7   45.4   0.31   29.6   20.3   25.0   26.4   20.3   25.0   26.4   86.4    330
 2000 350   112    9.0   14.1   15.1   22.2   44.4   0.33   29.4   15.5   22.6   24.6   15.5   22.6   24.6   86.4    330
 2000 351   113    0.0   14.1   15.1   32.2   64.4   0.02   21.1    9.8   15.5   17.2    9.8   15.5   17.2   86.4    330
 2000 352   114    0.0   14.1   15.2   31.5   63.0   0.04   25.0   10.2   17.7   19.9   10.2   17.7   19.9   86.4    330
 2000 353   115    0.0   14.1   15.2   32.2   64.4   0.02   29.2   13.2   21.3   23.7   13.2   21.3   23.7   86.4    330
 2000 354   116    0.0   14.1   15.2   26.6   53.2   0.19   26.6   11.1   19.0   21.2   11.1   19.0   21.2   86.4    330
 2000 355   117    3.1   14.1   15.2   29.7   59.4   0.10   29.0   12.6   20.9   23.3   12.6   20.9   23.3   86.4    330
 2000 356   118    4.0   14.1   15.2    9.7   19.4   0.71   21.0   15.5   18.3   19.1   15.5   18.3   19.1   86.4    330
 2000 357   119    0.0   14.1   15.2   29.3   58.6   0.11   29.6   15.7   22.8   24.8   15.7   22.8   24.8   86.4    330
 2000 358   120    4.0   14.1   15.2   12.6   25.2   0.62   20.3   15.3   17.8   18.6   15.3   17.8   18.6   86.4    330
 2000 359   121    0.0   14.1   15.2   28.5   57.0   0.13   26.3   11.1   18.8   21.1   11.1   18.8   21.1   86.4    330
 2000 360   122    0.0   14.1   15.2   28.0   56.0   0.15   31.4   19.0   25.3   27.1   19.0   25.3   27.1   86.4    330
