*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:29

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0398 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 1999 322    90    87   2494   28.99    0.32   16.60    5.90    2.64    1.46    6.1   14.0   26.3   21.1    0.00    0.00    0.00
 1999 323    91    88   2660   28.39    0.37   17.14    5.25    2.81    1.54    6.3   14.5   26.8   21.8    0.00    0.00    0.00
 1999 324    92    89   2836   28.80    0.40   17.98    5.08    2.78    1.70    6.5   15.0   25.5   21.3    0.00    0.00    0.00
 1999 325    93    90   3046   33.58    0.41   20.93    5.80    2.98    2.13    6.7   15.6   25.4   20.7    0.00    0.00    0.00
 1999 326    94    91   3265   34.02    0.00   18.24    4.80    2.70    5.16    7.6   18.1   23.8   19.0    0.00    0.00    0.00
 1999 327    95    92   3392   23.38    0.50   13.35    4.49    2.29    1.39    7.7   18.3   23.3   19.0    0.00    0.00    0.00
 1999 328    96    93   3587   32.06    0.00   17.89    4.80    3.14    3.39    8.2   19.5   25.2   20.7    0.00    0.00    0.00
 1999 329    97    94   3763   31.84    0.65   17.87    6.16    3.24    2.07    8.3   19.7   26.6   20.3    0.00    0.00    0.00
 1999 330    98    95   3853   17.80    0.63   10.39    3.06    2.22    1.05    8.3   19.7   22.0   19.2    0.00    0.00    0.00
 1999 331    99    96   4053   33.36    0.00   17.81    4.63    3.51    4.14    8.9   21.1   25.5   21.0    0.00    0.00    0.00
 1999 332   100    97   4277   37.73    0.00   20.01    5.50    4.24    4.46    9.4   22.5   28.1   22.0    0.00    0.00    0.00
 1999 333   101    98   4479   37.03    1.02   20.78    6.64    4.76    2.55    9.5   22.5   29.7   23.2    0.00    0.00    0.00
 1999 334   102    99   4691   38.63    1.20   22.12    6.32    5.92    2.72    9.5   22.6   31.7   25.8    0.00    0.00    0.00
 1999 335   103   100   4830   29.05    1.24   15.83    4.98    4.97    1.79    9.5   22.6   30.1   24.9    0.00    0.00    0.00
 1999 336   104   101   4896   16.05    0.87    9.00    3.04    2.42    0.42    9.5   22.4   21.6   18.6    0.00    0.00    0.00
 1999 337   105   102   5052   30.46    0.93   16.65    5.88    3.31    1.88    9.5   22.5   23.3   19.4    0.00    0.00    0.00
 1999 338   106   103   5248   38.92    1.22   20.55    7.20    5.20    2.64    9.6   22.6   28.5   23.2    0.00    0.00    0.00
 1999 339   107   104   5345   19.85    0.00   10.27    3.67    2.30    1.05    9.7   22.9   20.5   16.5    0.00    0.00    0.00
 1999 340   108   105   5508   30.34    0.66   16.10    6.25    2.37    1.99    9.8   23.0   19.9   15.0    0.00    0.00    0.00
 1999 341   109   106   5647   26.73    0.72   14.46    5.37    2.42    1.61    9.9   23.1   20.6   15.4    0.00    0.00    0.00
 1999 342   110   107   5845   37.50    1.09   20.55    7.01    3.88    2.81   10.0   23.3   24.6   18.8    0.00    0.00    0.00
 1999 343   111   108   6030   39.78    1.34   21.41    7.35    4.77    3.03   10.1   23.5   26.7   20.7    0.00    0.00    0.00
 1999 344   112   109   6187   39.99    1.54   21.16    7.39    5.35    2.98   10.1   23.6   27.6   22.0    6.23   20.30   32.28
 1999 345   113   110   6329   36.00    1.70   18.91    6.57    5.55    2.40   10.2   23.6   28.4   22.9    6.27   20.42   31.91
 1999 346   114   111   6392   25.27    1.73   13.56    4.86    4.53    0.83   10.1   23.4   25.5   22.1    6.25   20.36   32.09
 1999 347   115   112   6461   27.69    1.65   14.32    5.63    4.31    0.94   10.0   23.2   24.6   21.0    6.22   20.20   32.41
 1999 348   116   113   6626   39.57    1.71   20.37    7.77    5.17    2.61   10.1   23.2   26.1   21.3    6.21   20.16   32.50
 1999 349   117   114   6787   39.57    1.96   20.18    7.59    6.25    2.44   10.1   23.2   28.7   23.5    6.25   20.26   32.21
 1999 350   118   115   6938   40.08    1.97   20.36    7.72    6.31    2.49   10.1   23.2   29.4   23.2    6.26   20.31   32.08
 1999 351   119   116   7063   39.54    2.14   19.14    7.96    6.69    2.18   10.1   23.1   29.4   24.0    6.28   20.35   31.89
 1999 352   120   117   7158   36.58    2.30   17.48    7.06    7.59    1.80   10.0   23.0   32.1   26.0    6.33   20.38   31.55
 1999 353   121   118   7252   38.34    2.34   18.59    7.95    6.74    1.70   10.0   22.8   28.0   24.3    6.35   20.40   31.44
 1999 354   122   119   7366   39.13    2.05   19.03    8.25    5.82    2.10   10.0   22.7   28.2   21.6    6.32   20.36   31.63
 1999 355   123   120   7426   33.03    2.30   16.45    6.80    6.37    1.07    9.9   22.4   29.4   23.7    6.32   20.38   31.58
